"","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name"
"1","research","Montevideo","Campuloclinium macrocephalum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Campuloclinium"
"2","research","Montevideo","Noticastrum diffusum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Noticastrum"
"3","research","Montevideo","Bidens aurea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Bidens"
"4","research","Rocha","Tessaria absinthioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Tessaria"
"5","research","Maldonado","Baccharis notosergila","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis"
"6","research","Rocha","Gamochaeta falcata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Gamochaeta"
"7","research","Rocha","Senecio platensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio"
"8","research","Rivera","Gyptis tanacetifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Gyptis"
"9","research","Florida","Matricaria chamomilla","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Matricaria"
"10","research","Maldonado","Campovassouria cruciata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Campovassouria"
"11","research","Canelones","Anthemis cotula","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Anthemis"
"12","research","Salto","Pterocaulon polystachyum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pterocaulon"
"13","research","Rocha","Stevia satureiifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Stevia"
"14","research","Canelones","Hypochaeris radicata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hypochaeris"
"15","research","Montevideo","Pluchea sagittalis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pluchea"
"16","research","Rocha","Sesbania virgata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Sesbania"
"17","research","Tacuarembó","Erythrina crista-galli","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Erythrina"
"18","research","Canelones","Microgyne trifurcata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Microgyne"
"19","research","Canelones","Senecio madagascariensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio"
"20","research","Canelones","Berroa gnaphalioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Berroa"
"21","research","Canelones","Eclipta elliptica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Eclipta"
"22","research","Tacuarembó","Peltophorum dubium","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Peltophorum"
"23","research","Maldonado","Spartium junceum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Spartium"
"24","research","Maldonado","Schlechtendalia luzulifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Schlechtendalia"
"25","research","Colonia","Vachellia caven","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vachellia"
"26","research","Montevideo","Vicia faba","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vicia"
"27","research","Florida","Senna corymbosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Senna"
"28","research","Rocha","Senecio brasiliensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio"
"29","research","Treinta y Tres","Mimosa bifurca","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa"
"30","research","Tacuarembó","Centrosema virginianum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Centrosema"
"31","research","Treinta y Tres","Trifolium polymorphum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium"
"32","research","Canelones","Trifolium pratense","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium"
"33","research","Maldonado","Chrysolaena flexuosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Chrysolaena"
"34","research","Colonia","Cynara cardunculus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cynara"
"35","research","Rivera","Lupinus multiflorus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"36","research","Lavalleja","Cirsium vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium"
"37","research","Maldonado","Albizia julibrissin","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Albizia"
"38","research","Maldonado","Bidens pilosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Bidens"
"39","research","Rocha","Erigeron blakei","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron"
"40","research","Maldonado","Mimosa australis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa"
"41","research","Maldonado","Grazielia serrata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Grazielia"
"42","research","Río Negro","Solidago chilensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Solidago"
"43","research","Río Negro","Chromolaena hirsuta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Chromolaena"
"44","research","Río Negro","Elephantopus mollis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Elephantopus"
"45","research","Montevideo","Vachellia karroo","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vachellia"
"46","research","Montevideo","Calliandra tweediei","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Calliandra"
"47","research","Río Negro","Verbesina subcordata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Verbesina"
"48","research","San José","Achyrocline saturejoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"49","research","Río Negro","Bauhinia forficata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Bauhinia"
"50","research","Río Negro","Centaurea solstitialis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Centaurea"
"51","research","Río Negro","Baccharis coridifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis"
"52","research","Soriano","Desmodium incanum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium"
"53","research","Río Negro","Grindelia pulchella","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Grindelia"
"54","research","Paysandú","Helenium radiatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Helenium"
"55","research","Canelones","Coreopsis lanceolata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Coreopsis"
"56","research","Paysandú","Vernonanthura montevidensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Vernonanthura"
"57","research","Montevideo","Chamaemelum mixtum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Chamaemelum"
"58","research","Río Negro","Acmella decumbens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acmella"
"59","research","Río Negro","Picrosia longifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Picrosia"
"60","research","Montevideo","Senecio crassiflorus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio"
"61","research","Montevideo","Lupinus bracteolaris","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"62","research","Río Negro","Pamphalea heterophylla","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pamphalea"
"63","research","San José","Vicia benghalensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vicia"
"64","research","Río Negro","Chaptalia piloselloides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Chaptalia"
"65","research","Río Negro","Trixis praestans","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Trixis"
"66","research","Soriano","Acacia dealbata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"67","research","Río Negro","Taraxacum officinale","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Taraxacum"
"68","research","Río Negro","Chromolaena ivifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Chromolaena"
"69","research","Río Negro","Bidens subalternans","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Bidens"
"70","research","Montevideo","Arctium minus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Arctium"
"71","research","Río Negro","Prosopis affinis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Prosopis"
"72","research","Río Negro","Austroeupatorium inulifolium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Austroeupatorium"
"73","research","Río Negro","Camptosema rubicundum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Camptosema"
"74","research","Río Negro","Holocheilus hieracioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Holocheilus"
"75","research","Soriano","Lessingianthus plantaginodes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Lessingianthus"
"76","research","Río Negro","Senecio bonariensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio"
"77","research","Río Negro","Senecio pterophorus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio"
"78","research","Montevideo","Sonchus oleraceus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Sonchus"
"79","research","Río Negro","Gymnocoronis spilanthoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Gymnocoronis"
"80","research","Río Negro","Lotus corniculatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lotus"
"81","research","Río Negro","Cichorium intybus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cichorium"
"82","research","Río Negro","Geoffroea decorticans","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Geoffroea"
"83","research","Río Negro","Carduus acanthoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Carduus"
"84","research","Río Negro","Macroptilium prostratum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Macroptilium"
"85","research","Río Negro","Chromolaena christieana","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Chromolaena"
"86","research","Río Negro","Baccharis trimera","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis"
"87","research","Río Negro","Vernonanthura nudiflora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Vernonanthura"
"88","research","Río Negro","Urolepis hecatantha","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Urolepis"
"89","research","Maldonado","Smallanthus connatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Smallanthus"
"90","research","Río Negro","Galactia marginalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Galactia"
"91","research","Canelones","Sesbania punicea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Sesbania"
"92","research","Río Negro","Trichocline humilis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Trichocline"
"93","research","Río Negro","Medicago sativa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Medicago"
"94","research","Soriano","Eclipta prostrata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Eclipta"
"95","research","Montevideo","Galinsoga parviflora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Galinsoga"
"96","research","Río Negro","Aldama anchusifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Aldama"
"97","research","Río Negro","Hypochaeris albiflora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hypochaeris"
"98","research","Montevideo","Pseudogynoxys chenopodioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pseudogynoxys"
"99","research","Montevideo","Helianthus tuberosus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Helianthus"
"100","research","Montevideo","Enterolobium contortisiliquum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Enterolobium"
"101","research","Canelones","Trifolium repens","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium"
"102","research","Montevideo","Youngia japonica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Youngia"
"103","research","Rivera","Soliva sessilis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Soliva"
"104","research","Montevideo","Acacia longifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"105","research","Rocha","Xanthium strumarium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Xanthium"
"106","research","Paysandú","Sonchus asper","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Sonchus"
"107","research","Canelones","Helianthus annuus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Helianthus"
"108","research","Río Negro","Hymenoxys anthemoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hymenoxys"
"109","research","Río Negro","Erigeron lorentzii","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron"
"110","research","Montevideo","Coleostephus myconis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Coleostephus"
"111","research","San José","Senecio selloi","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio"
"112","research","Río Negro","Gleditsia triacanthos","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Gleditsia"
"113","research","San José","Baccharis articulata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis"
"114","research","Montevideo","Hedypnois rhagadioloides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hedypnois"
"115","research","Soriano","Hypochaeris chillensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hypochaeris"
"116","research","San José","Adesmia securigerifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Adesmia"
"117","research","Colonia","Pseudognaphalium cheiranthifolium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pseudognaphalium"
"118","research","Colonia","Arachis villosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Arachis"
"119","research","Montevideo","Hieracium commersonii","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hieracium"
"120","research","Canelones","Trifolium campestre","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium"
