"","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name"
"1","research","Montevideo","Paroaria coronata","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Paroaria"
"2","research","Montevideo","Larus atlanticus","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus"
"3","research","Montevideo","Haematopus palliatus","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus"
"4","research","Montevideo","Aramides cajaneus","Animalia","Chordata","Aves","Gruiformes","Rallidae","Aramides"
"5","research","Rocha","Rhinella dorbignyi","Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella"
"6","research","Rocha","Scinax granulatus","Animalia","Chordata","Amphibia","Anura","Hylidae","Scinax"
"7","research","Rocha","Procyon cancrivorus","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Procyon"
"8","research","Rocha","Otaria byronia","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Otaria"
"9","research","Rocha","Myiopsitta monachus","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta"
"10","research","Rocha","Colaptes campestris","Animalia","Chordata","Aves","Piciformes","Picidae","Colaptes"
"11","research","Rocha","Sicalis flaveola","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Sicalis"
"12","research","Rocha","Amazonetta brasiliensis","Animalia","Chordata","Aves","Anseriformes","Anatidae","Amazonetta"
"13","research","Rocha","Porphyriops melanops","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porphyriops"
"14","research","Rocha","Milvago chimango","Animalia","Chordata","Aves","Falconiformes","Falconidae","Milvago"
"15","research","Rocha","Nannopterum brasilianum","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Nannopterum"
"16","research","Rocha","Larus dominicanus","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus"
"17","research","Rocha","Mimus saturninus","Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus"
"18","research","Rocha","Egretta thula","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta"
"19","research","Rocha","Spheniscus magellanicus","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Spheniscus"
"20","research","Rocha","Melanophryniscus montevidensis","Animalia","Chordata","Amphibia","Anura","Bufonidae","Melanophryniscus"
"21","research","Montevideo","Vanellus chilensis","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus"
"22","research","Montevideo","Fulica armillata","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica"
"23","research","Montevideo","Rollandia rolland","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Rollandia"
"24","research","Rocha","Leptodactylus gracilis","Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Leptodactylus"
"25","research","Florida","Theristicus caerulescens","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Theristicus"
"26","research","Tacuarembó","Athene cunicularia","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene"
"27","research","Tacuarembó","Buteogallus meridionalis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteogallus"
"28","research","Tacuarembó","Rhea americana","Animalia","Chordata","Aves","Rheiformes","Rheidae","Rhea"
"29","research","Tacuarembó","Aramides ypecaha","Animalia","Chordata","Aves","Gruiformes","Rallidae","Aramides"
"30","research","Tacuarembó","Heteroxolmis dominicana","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Heteroxolmis"
"31","research","Rocha","Rhinella arenarum","Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella"
"32","research","Rocha","Arctocephalus australis","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus"
"33","research","Colonia","Elaenia parvirostris","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Elaenia"
"34","research","Colonia","Embernagra platensis","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Embernagra"
"35","research","Colonia","Colaptes melanochloros","Animalia","Chordata","Aves","Piciformes","Picidae","Colaptes"
"36","research","Colonia","Dasypus novemcinctus","Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","Dasypus"
"37","research","Rocha","Cerdocyon thous","Animalia","Chordata","Mammalia","Carnivora","Canidae","Cerdocyon"
"38","research","Rocha","Anthus lutescens","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus"
"39","research","Rocha","Tyrannus savana","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus"
"40","research","Rocha","Zonotrichia capensis","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia"
"41","research","Rocha","Pluvialis dominica","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis"
"42","research","Rocha","Cavia aperea","Animalia","Chordata","Mammalia","Rodentia","Caviidae","Cavia"
"43","research","Paysandú","Cathartes aura","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes"
"44","research","Cerro Largo","Pyrocephalus rubinus","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Pyrocephalus"
"45","research","Montevideo","Nycticorax nycticorax","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Nycticorax"
"46","research","Tacuarembó","Xolmis irupero","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Xolmis"
"47","research","Cerro Largo","Aramus guarauna","Animalia","Chordata","Aves","Gruiformes","Aramidae","Aramus"
"48","research","Rocha","Ciconia maguari","Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae","Ciconia"
"49","research","Rocha","Progne tapera","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Progne"
"50","research","Rocha","Charadrius semipalmatus","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius"
"51","research","Rocha","Chroicocephalus maculipennis","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus"
"52","research","Rocha","Tringa flavipes","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa"
"53","research","Rocha","Guira guira","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Guira"
"54","research","Rocha","Calidris fuscicollis","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris"
"55","research","Paysandú","Syrigma sibilatrix","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Syrigma"
"56","research","Rocha","Progne chalybea","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Progne"
"57","research","Cerro Largo","Cathartes burrovianus","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes"
"58","research","Maldonado","Coragyps atratus","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Coragyps"
"59","research","Colonia","Hymenops perspicillatus","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Hymenops"
"60","research","Río Negro","Caracara plancus","Animalia","Chordata","Aves","Falconiformes","Falconidae","Caracara"
