"id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","distribucion","distribucion_2","largo_cm","tamaño","status_regional","status_global"
25394,"2010-05-14","iris","visitante",104,"-34.8836111","-56.1819444","Montevideo","Aves","Thraupidae","Paroaria coronata",19,"Alta",17,"Pequeño","LC","LC"
29269,"2010-05-13","iris","visitante",104,"-34.8432699046","-56.1886241301","Montevideo","Aves","Laridae","Larus atlanticus",6,"Media",48,"Mediano","EN","NT"
29270,"2011-05-16","iris","visitante",104,"-34.9321044628","-56.1622810364","Montevideo","Aves","Haematopodidae","Haematopus palliatus",8,"Media",35,"Mediano","LC","LC"
29274,"2010-05-14","iris","visitante",104,"-34.913525558","-56.1667442322","Montevideo","Aves","Rallidae","Aramides cajaneus",19,"Alta",36,"Mediano","LC","LC"
87220,"2011-01-06","guille","visitante",42,"-34.0379800402","-53.5438978672","Rocha","Amphibia","Bufonidae","Rhinella dorbignyi",10,"Media",7,"Mediano","LC","LC"
87221,"2011-01-06","guille","visitante",42,"-34.0379800402","-53.5438978672","Rocha","Amphibia","Hylidae","Scinax granulatus",19,"Alta",4,"Pequeño","LC","LC"
87222,"2011-01-08","guille","visitante",42,"-34.1866718618","-53.7563180923","Rocha","Mammalia","Procyonidae","Procyon cancrivorus",19,"Alta",107,"Mediano","LC","LC"
87225,"2011-01-10","guille","visitante",42,"-34.4061860207","-53.7776952982","Rocha","Mammalia","Otariidae","Otaria byronia",5,"Baja",210,"Grande","LC","LC"
87228,"2011-01-12","guille","visitante",42,"-34.2420492886","-53.881727457","Rocha","Aves","Psittacidae","Myiopsitta monachus",19,"Alta",27,"Mediano","LC","LC"
87229,"2011-01-12","guille","visitante",42,"-34.2594865145","-53.8831248879","Rocha","Aves","Picidae","Colaptes campestris",19,"Alta",27,"Mediano","LC","LC"
87232,"2011-01-12","guille","visitante",42,"-34.2828642395","-53.9022195339","Rocha","Aves","Thraupidae","Sicalis flaveola",19,"Alta",12,"Pequeño","LC","LC"
87233,"2011-01-12","guille","visitante",42,"-34.2132594318","-53.8846805692","Rocha","Aves","Anatidae","Amazonetta brasiliensis",19,"Alta",36,"Mediano","LC","LC"
87234,"2011-01-12","guille","visitante",42,"-34.2132128526","-53.8846886158","Rocha","Aves","Rallidae","Porphyriops melanops",19,"Alta",20,"Mediano","LC","LC"
87235,"2011-01-12","guille","visitante",42,"-34.2396878353","-53.8822317123","Rocha","Aves","Falconidae","Milvago chimango",19,"Alta",37,"Mediano","LC","LC"
87236,"2011-01-12","guille","visitante",42,"-34.2400514813","-53.882060051","Rocha","Aves","Picidae","Colaptes campestris",19,"Alta",27,"Mediano","LC","LC"
87238,"2011-01-13","guille","visitante",42,"-33.9016017535","-53.5102200508","Rocha","Aves","Phalacrocoracidae","Nannopterum brasilianum",19,"Alta",63,"Grande","LC","LC"
87239,"2011-01-13","guille","visitante",42,"-33.9016017535","-53.5102200508","Rocha","Aves","Laridae","Larus dominicanus",16,"Media",55,"Grande","LC","LC"
87240,"2011-01-13","guille","visitante",42,"-33.900993992","-53.5116711259","Rocha","Aves","Mimidae","Mimus saturninus",19,"Alta",25,"Mediano","LC","LC"
87241,"2011-01-13","guille","visitante",42,"-33.9017642678","-53.5102334619","Rocha","Aves","Ardeidae","Egretta thula",19,"Alta",39,"Mediano","LC","LC"
121716,"2010-05-17","iris","visitante",104,"-34.5168752562","-53.6440393386","Rocha","Aves","Spheniscidae","Spheniscus magellanicus",6,"Media",47,"Mediano","NT","NT"
121995,"2010-05-14","iris","visitante",104,"-34.9157777705","-56.1720657349","Montevideo","Aves","Ardeidae","Egretta thula",19,"Alta",39,"Mediano","LC","LC"
411870,"2013-09-13","jonathan","visitante",130,"-34.913675","-56.17664","Montevideo","Aves","Charadriidae","Vanellus chilensis",19,"Alta",32,"Mediano","LC","LC"
413458,"2013-09-13","jonathan","visitante",130,"-34.924194","-56.150624","Montevideo","Aves","Rallidae","Fulica armillata",19,"Alta",35,"Mediano","LC","LC"
414272,"2013-09-13","jonathan","visitante",130,"-34.924218","-56.150898","Montevideo","Aves","Podicipedidae","Rollandia rolland",19,"Alta",25,"Mediano","LC","LC"
435389,"2013-09-13","jonathan","visitante",130,"-34.924556","-56.151807","Montevideo","Aves","Haematopodidae","Haematopus palliatus",8,"Media",35,"Mediano","LC","LC"
644794,"2014-04-23","gantproductions","visitante",29,"-34.2613638889","-55.9728861111","Florida","Aves","Threskiornithidae","Theristicus caerulescens",19,"Alta",62,"Grande","LC","LC"
645397,"2014-04-24","gantproductions","visitante",29,"-32.0747194444","-55.7520305556","Tacuarembó","Aves","Strigidae","Athene cunicularia",19,"Alta",25,"Mediano","NT","LC"
645531,"2014-04-24","gantproductions","visitante",29,"-32.188075","-55.7126416667","Tacuarembó","Aves","Accipitridae","Buteogallus meridionalis",19,"Alta",51,"Grande","LC","LC"
645539,"2014-04-24","gantproductions","visitante",29,"-32.1880638889","-55.7126194444","Tacuarembó","Aves","Rheidae","Rhea americana",19,"Alta",140,"Grande","LC","NT"
645610,"2014-04-24","gantproductions","visitante",29,"-31.8274638889","-56.00265","Tacuarembó","Aves","Rallidae","Aramides ypecaha",19,"Alta",45,"Mediano","LC","LC"
645622,"2014-04-24","gantproductions","visitante",29,"-31.7568475668","-55.8011366481","Tacuarembó","Aves","Tyrannidae","Heteroxolmis dominicana",17,"Alta",19,"Pequeño","VU","VU"
646149,"2014-04-27","gantproductions","visitante",29,"-34.957405","-54.9442966667","Maldonado","Aves","Haematopodidae","Haematopus palliatus",8,"Media",35,"Mediano","LC","LC"
646189,"2012-12-23","gantproductions","visitante",29,-34039,"-53.5413333333","Rocha","Amphibia","Bufonidae","Rhinella arenarum",10,"Media","11.5","Grande","LC","LC"
646219,"2012-12-23","gantproductions","visitante",29,"-34.401368","-53.782657","Rocha","Amphibia","Bufonidae","Rhinella arenarum",10,"Media","11.5","Grande","LC","LC"
646232,"2013-11-10","gantproductions","visitante",29,"-34.964212","-54.949528","Maldonado","Mammalia","Otariidae","Otaria byronia",5,"Baja",210,"Grande","LC","LC"
646278,"2012-12-23","gantproductions","visitante",29,"-34.406078","-53.778441","Rocha","Mammalia","Otariidae","Arctocephalus australis",7,"Media",150,"Mediano","LC","LC"
912590,"2013-03-03","nicoolejnik","visitante",108,"-34.074275","-57.366486","Colonia","Aves","Tyrannidae","Elaenia parvirostris",19,"Alta",13,"Pequeño","LC","LC"
912647,"2013-03-02","nicoolejnik","visitante",108,"-34.112942","-57.374725","Colonia","Aves","Thraupidae","Embernagra platensis",19,"Alta",20,"Mediano","LC","LC"
917562,"2013-03-03","nicoolejnik","visitante",108,"-34.073137","-57.415924","Colonia","Aves","Picidae","Colaptes melanochloros",19,"Alta",23,"Mediano","LC","LC"
1140305,"2013-03-02","nicoolejnik","visitante",108,"-34.065552","-57.356071","Colonia","Mammalia","Dasypodidae","Dasypus novemcinctus",19,"Alta",70,"Mediano","LC","LC"
1266639,"2011-01-10","guille","visitante",42,"-34.182589","-53.752885","Rocha","Mammalia","Canidae","Cerdocyon thous",19,"Alta",110,"Mediano","LC","LC"
1266655,"2011-01-10","guille","visitante",42,"-34.402732","-53.776639","Rocha","Aves","Motacillidae","Anthus lutescens",19,"Alta",12,"Pequeño","LC","LC"
1266665,"2011-01-12","guille","visitante",42,"-34.241271","-53.881717","Rocha","Aves","Tyrannidae","Tyrannus savana",19,"Alta",38,"Mediano","LC","LC"
1266670,"2011-01-12","guille","visitante",42,"-34.28346","-53.90606","Rocha","Aves","Phalacrocoracidae","Nannopterum brasilianum",19,"Alta",63,"Grande","LC","LC"
1266676,"2011-01-12","guille","visitante",42,"-34.283478","-53.90325","Rocha","Aves","Passerellidae","Zonotrichia capensis",19,"Alta",12,"Pequeño","LC","LC"
1266686,"2011-01-12","guille","visitante",42,"-34.283815","-53.903722","Rocha","Aves","Charadriidae","Pluvialis dominica",19,"Alta",23,"Mediano","LC","LC"
1266702,"2011-01-13","guille","visitante",42,"-33.90097","-53.511631","Rocha","Mammalia","Caviidae","Cavia aperea",19,"Alta",24,"Pequeño","LC","LC"
1527823,"2015-01-26","pipoca1730","visitante",36,"-31.642915","-57.936037","Paysandú","Aves","Cathartidae","Cathartes aura",19,"Alta",60,"Grande","LC","LC"
1527861,"2015-01-30","pipoca1730","visitante",36,"-33.968278","-53.549166","Rocha","Aves","Picidae","Colaptes melanochloros",19,"Alta",23,"Mediano","LC","LC"
1544374,"2015-02-01","pipoca1730","visitante",36,"-34.66667","-54.16667","Rocha","Aves","Haematopodidae","Haematopus palliatus",8,"Media",35,"Mediano","LC","LC"
1544379,"2015-01-29","pipoca1730","visitante",36,"-32.371842743","-54.2477416992","Cerro Largo","Aves","Rheidae","Rhea americana",19,"Alta",140,"Grande","LC","NT"
1544385,"2015-01-28","pipoca1730","visitante",36,"-32.36667","-54.18333","Cerro Largo","Aves","Tyrannidae","Pyrocephalus rubinus",19,"Alta",13,"Pequeño","LC","LC"
1544389,"2015-01-27","pipoca1730","visitante",36,"-31.73333","-55.98333","Tacuarembó","Aves","Tyrannidae","Xolmis irupero",19,"Alta",17,"Pequeño","LC","LC"
1544425,"2015-01-26","pipoca1730","visitante",36,"-34.04583","-53.5405","Rocha","Aves","Strigidae","Athene cunicularia",19,"Alta",25,"Mediano","NT","LC"
1544458,"2015-01-26","pipoca1730","visitante",36,"-31.66667","-57.91667","Paysandú","Aves","Cathartidae","Cathartes aura",19,"Alta",60,"Grande","LC","LC"
1544467,"2015-01-26","pipoca1730","visitante",36,"-31.66667","-57.91667","Paysandú","Aves","Cathartidae","Cathartes aura",19,"Alta",60,"Grande","LC","LC"
1544492,"2015-01-26","pipoca1730","visitante",36,"-31.95","-57.88333","Paysandú","Aves","Passerellidae","Zonotrichia capensis",19,"Alta",12,"Pequeño","LC","LC"
1544494,"2015-01-26","pipoca1730","visitante",36,"-31.95","-57.88333","Paysandú","Aves","Charadriidae","Vanellus chilensis",19,"Alta",32,"Mediano","LC","LC"
1544513,"2015-01-30","pipoca1730","visitante",36,"-34.04583","-53.5405","Rocha","Aves","Falconidae","Milvago chimango",19,"Alta",37,"Mediano","LC","LC"
1544517,"2015-01-28","pipoca1730","visitante",36,"-32.36667","-54.18333","Cerro Largo","Aves","Aramidae","Aramus guarauna",19,"Alta",55,"Grande","LC","LC"
1544523,"2015-01-30","pipoca1730","visitante",36,"-34.04583","-53.5405","Rocha","Aves","Ciconiidae","Ciconia maguari",19,"Alta",85,"Grande","LC","LC"
1544526,"2015-01-30","pipoca1730","visitante",36,"-34.04583","-53.5405","Rocha","Aves","Hirundinidae","Progne tapera",19,"Alta",16,"Pequeño","LC","LC"
1544530,"2015-02-01","pipoca1730","visitante",36,"-34.66667","-54.16667","Rocha","Aves","Charadriidae","Charadrius semipalmatus",5,"Baja",15,"Pequeño","LC","LC"
1544537,"2015-02-01","pipoca1730","visitante",36,"-34.66667","-54.16667","Rocha","Aves","Charadriidae","Charadrius semipalmatus",5,"Baja",15,"Pequeño","LC","LC"
1544545,"2015-02-01","pipoca1730","visitante",36,"-34.66667","-54.16667","Rocha","Aves","Laridae","Chroicocephalus maculipennis",19,"Alta",35,"Mediano","LC","LC"
1544548,"2015-02-01","pipoca1730","visitante",36,"-34.66667","-54.16667","Rocha","Aves","Laridae","Chroicocephalus maculipennis",19,"Alta",35,"Mediano","LC","LC"
1544549,"2015-02-01","pipoca1730","visitante",36,"-34.66667","-54.16667","Rocha","Aves","Haematopodidae","Haematopus palliatus",8,"Media",35,"Mediano","LC","LC"
1544552,"2015-02-01","pipoca1730","visitante",36,"-34.66667","-54.16667","Rocha","Aves","Scolopacidae","Tringa flavipes",19,"Alta",25,"Mediano","LC","LC"
1544562,"2015-02-01","pipoca1730","visitante",36,"-34.66667","-54.16667","Rocha","Aves","Scolopacidae","Tringa flavipes",19,"Alta",25,"Mediano","LC","LC"
1544567,"2015-02-01","pipoca1730","visitante",36,"-34.66667","-54.16667","Rocha","Aves","Charadriidae","Pluvialis dominica",19,"Alta",23,"Mediano","LC","LC"
1544572,"2015-02-01","pipoca1730","visitante",36,"-34.66667","-54.16667","Rocha","Aves","Scolopacidae","Tringa flavipes",19,"Alta",25,"Mediano","LC","LC"
1544626,"2015-01-29","pipoca1730","visitante",36,"-32.36667","-54.18333","Cerro Largo","Aves","Picidae","Colaptes melanochloros",19,"Alta",23,"Mediano","LC","LC"
1544628,"2015-01-30","pipoca1730","visitante",36,"-34.04583","-53.5405","Rocha","Aves","Picidae","Colaptes campestris",19,"Alta",27,"Mediano","LC","LC"
1544633,"2015-01-30","pipoca1730","visitante",36,"-34.04583","-53.5405","Rocha","Aves","Cuculidae","Guira guira",19,"Alta",36,"Mediano","LC","LC"
1544641,"2015-02-01","pipoca1730","visitante",36,"-34.66667","-54.16667","Rocha","Aves","Scolopacidae","Calidris fuscicollis",19,"Alta",16,"Pequeño","LC","LC"
1544691,"2015-01-25","pipoca1730","visitante",36,"-31.95","-57.88333","Paysandú","Aves","Ardeidae","Syrigma sibilatrix",19,"Alta",48,"Mediano","LC","LC"
1686079,"2015-01-30","pipoca1730","visitante",36,"-34.00372","-53.543696","Rocha","Aves","Hirundinidae","Progne chalybea",19,"Alta",18,"Pequeño","LC","LC"
1777640,"2015-07-14","lzgd","visitante",266,"-34.472358","-57.851689","Colonia","Aves","Psittacidae","Myiopsitta monachus",19,"Alta",27,"Mediano","LC","LC"
1777657,"2015-07-14","lzgd","visitante",266,"-34.472204","-57.851617","Colonia","Aves","Psittacidae","Myiopsitta monachus",19,"Alta",27,"Mediano","LC","LC"
2355601,"2015-11-03","mattclark72","visitante",459,"-34.472607","-57.841463","Colonia","Aves","Tyrannidae","Hymenops perspicillatus",19,"Alta",13,"Pequeño","LC","LC"
3036766,"2015-01-28","pipoca1730","visitante",36,"-32.384796","-54.17273","Cerro Largo","Aves","Icteridae","Icterus pyrrhopterus",19,"Alta",19,"Pequeño","LC","LC"
3036802,"2015-01-26","pipoca1730","visitante",36,"-31.610466","-57.981699","Paysandú","Aves","Cathartidae","Cathartes aura",19,"Alta",60,"Grande","LC","LC"
3962720,"2015-01-25","pipoca1730","visitante",36,"-31.839572","-57.885349","Paysandú","Aves","Anhimidae","Chauna torquata",19,"Alta",85,"Grande","LC","LC"
4832847,"2015-01-26","pipoca1730","visitante",36,"-31.8404514129","-57.8845274448","Paysandú","Aves","Alcedinidae","Chloroceryle amazona",19,"Alta",26,"Mediano","LC","LC"
5454193,"2017-03-09","susan57","visitante",165,"-34.3781152958","-57.8466442713","Colonia","Aves","Strigidae","Athene cunicularia",19,"Alta",25,"Mediano","NT","LC"
5485649,"2017-03-09","susan57","visitante",165,"-34.4019962689","-57.8538010244","Colonia","Aves","Accipitridae","Rupornis magnirostris",19,"Alta",38,"Mediano","LC","LC"
5485696,"2017-03-09","susan57","visitante",165,"-34.2529466298","-57.8756709224","Colonia","Aves","Picidae","Colaptes campestris",19,"Alta",27,"Mediano","LC","LC"
5505927,"2017-03-09","susan57","visitante",165,"-34.2541175986","-57.8799114918","Colonia","Aves","Cuculidae","Guira guira",19,"Alta",36,"Mediano","LC","LC"
5535388,"2015-01-12","drtupps","visitante",363,"-34.468851","-57.852556","Colonia","Aves","Charadriidae","Vanellus chilensis",19,"Alta",32,"Mediano","LC","LC"
5565526,"2012-02-25","carancho","visitante",11,"-34.9368789","-54.9281496","Maldonado","Aves","Threskiornithidae","Phimosus infuscatus",19,"Alta",40,"Mediano","LC","LC"
5565527,"2012-02-26","carancho","visitante",11,"-34.9368789","-54.9281496","Maldonado","Aves","Laridae","Larus dominicanus",16,"Media",55,"Grande","LC","LC"
5565528,"2012-02-26","carancho","visitante",11,"-34.8531859678","-54.9847788931","Maldonado","Reptilia","Cheloniidae","Chelonia mydas",5,"Baja",92,"Mediano","VU","EN"
5565529,"2012-02-26","carancho","visitante",11,"-34.9368789","-54.9281496","Maldonado","Aves","Laridae","Chroicocephalus maculipennis",19,"Alta",35,"Mediano","LC","LC"
