,"id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","distribucion","distribucion_2","largo_cm","tamaño","status_regional","status_global"
"1",316443,"2013-06-26","intiporley","principiante",486,"-33.9546714965","-53.4586029429","Rocha","Amphibia","Bufonidae","Melanophryniscus montevidensis",4,"Baja",3,"Pequeño","CR","VU"
"2",449636,"2013-09-27","intiporley","principiante",486,"-33.8440209971","-53.5059229415","Rocha","Amphibia","Bufonidae","Melanophryniscus montevidensis",4,"Baja",3,"Pequeño","CR","VU"
"3",449639,"2013-09-28","intiporley","principiante",486,"-33.951334","-53.518739","Rocha","Amphibia","Leptodactylidae","Leptodactylus gracilis",19,"Alta","4.5","Pequeño","LC","LC"
"4",1539359,"2011-12-03","javier1-flaniguen","principiante",344,"-32.6694368326","-53.2665252686","Cerro Largo","Aves","Tyrannidae","Pyrocephalus rubinus",19,"Alta",13,"Pequeño","LC","LC"
"5",1542274,"2015-05-23","terecabo","principiante",806,"-34.897206","-56.067753","Montevideo","Aves","Ardeidae","Nycticorax nycticorax",19,"Alta",47,"Mediano","LC","LC"
"6",1920527,"2015-04-01","javier1-flaniguen","principiante",344,"-34.8659331314","-55.2529907227","Maldonado","Aves","Cathartidae","Cathartes aura",19,"Alta",60,"Grande","LC","LC"
"7",1920543,"2011-04-21","javier1-flaniguen","principiante",344,"-32.7202878811","-53.3084106445","Cerro Largo","Aves","Cathartidae","Cathartes burrovianus",19,"Alta",56,"Grande","LC","LC"
"8",1920555,"2015-04-01","javier1-flaniguen","principiante",344,"-34.8653697424","-55.2553939819","Maldonado","Aves","Cathartidae","Cathartes aura",19,"Alta",60,"Grande","LC","LC"
"9",1920568,"2015-04-01","javier1-flaniguen","principiante",344,"-34.8129576968","-55.2584838867","Maldonado","Aves","Cathartidae","Coragyps atratus",19,"Alta",53,"Grande","LC","LC"
"10",1920635,"2011-04-10","javier1-flaniguen","principiante",344,"-32.3490774393","-53.9226150513","Cerro Largo","Aves","Cathartidae","Cathartes aura",19,"Alta",60,"Grande","LC","LC"
"11",1920655,"2015-04-01","javier1-flaniguen","principiante",344,"-34.8121120678","-55.2529907227","Maldonado","Aves","Cathartidae","Coragyps atratus",19,"Alta",53,"Grande","LC","LC"
"12",1920662,"2011-04-10","javier1-flaniguen","principiante",344,"-32.3480622923","-53.8446807861","Cerro Largo","Aves","Cathartidae","Cathartes aura",19,"Alta",60,"Grande","LC","LC"
"13",2566954,"2015-11-02","cmbiancardi","principiante",103,"-33.065075","-58.06961","Río Negro","Aves","Falconidae","Caracara plancus",19,"Alta",55,"Grande","LC","LC"
"14",2566958,"2015-10-23","cmbiancardi","principiante",103,"-32.320594","-58.083214","Paysandú","Aves","Passerellidae","Zonotrichia capensis",19,"Alta",12,"Pequeño","LC","LC"
"15",2566961,"2015-05-30","cmbiancardi","principiante",103,"-31.6156","-57.984359","Paysandú","Aves","Corvidae","Cyanocorax chrysops",16,"Media",32,"Mediano","LC","LC"
"16",2566965,"2015-05-30","cmbiancardi","principiante",103,"-31.612996","-57.984123","Paysandú","Aves","Cathartidae","Cathartes aura",19,"Alta",60,"Grande","LC","LC"
"17",2566974,"2015-02-26","cmbiancardi","principiante",103,"-34.910657","-56.20599","Montevideo","Aves","Ardeidae","Egretta thula",19,"Alta",39,"Mediano","LC","LC"
"18",2566977,"2014-10-25","cmbiancardi","principiante",103,"-32.306213","-58.093471","Paysandú","Aves","Columbidae","Zenaida auriculata",19,"Alta",23,"Mediano","LC","LC"
"19",2566981,"2014-10-25","cmbiancardi","principiante",103,"-32.306213","-58.093471","Paysandú","Aves","Charadriidae","Vanellus chilensis",19,"Alta",32,"Mediano","LC","LC"
