"","observed_on","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name","scientific_name","geometry"
"1",2011-01-12,"research","Rocha","Parodia erinacea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Parodia","Parodia erinacea",c(785148.095102756, 6202039.47494742)
"2",2013-03-02,"research","Colonia","Parodia erinacea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Parodia","Parodia erinacea",c(467142.815613662, 6230518.51849123)
"3",2017-02-12,"research","Montevideo","Nicotiana longiflora","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Nicotiana","Nicotiana longiflora",c(573415.841744875, 6141562.31424477)
"4",2017-02-16,"research","Montevideo","Nicotiana longiflora","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Nicotiana","Nicotiana longiflora",c(572977.530092516, 6141387.70525316)
"5",2017-02-16,"research","Montevideo","Nicotiana longiflora","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Nicotiana","Nicotiana longiflora",c(572963.952160376, 6141390.35182576)
"6",2017-03-02,"research","Montevideo","Campuloclinium macrocephalum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Campuloclinium","Campuloclinium macrocephalum",c(565030.404236581, 6148868.95426329)
"7",2017-02-14,"research","Montevideo","Noticastrum diffusum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Noticastrum","Noticastrum diffusum",c(580618.12303731, 6139706.64190031)
"8",2017-04-30,"research","Montevideo","Bidens aurea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Bidens","Bidens aurea",c(566731.459974769, 6145072.40836333)
"9",2017-01-18,"research","Rocha","Tessaria absinthioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Tessaria","Tessaria absinthioides",c(818507.169338412, 6227029.14824286)
"10",2017-04-01,"research","Maldonado","Baccharis notosergila","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis","Baccharis notosergila",c(656744.778242361, 6159211.06697656)
"11",2004-03-04,"research","Canelones","Noticastrum diffusum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Noticastrum","Noticastrum diffusum",c(637813.984996086, 6148303.95749181)
