"","observed_on","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name","scientific_name","geometry"
"1",2010-05-14,"research","Montevideo","Paroaria coronata","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Paroaria","Paroaria coronata",c(574755.359688076, 6139558.67411524)
"2",2010-05-13,"research","Montevideo","Larus atlanticus","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus atlanticus",c(574181.156608585, 6144037.37979825)
"3",2011-05-16,"research","Montevideo","Haematopus palliatus","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus palliatus",c(576507.277094946, 6134165.9758947)
"4",2010-05-14,"research","Montevideo","Aramides cajaneus","Animalia","Chordata","Aves","Gruiformes","Rallidae","Aramides","Aramides cajaneus",c(576116.806825706, 6136229.75910323)
"5",2011-01-06,"research","Rocha","Rhinella dorbignyi","Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella","Rhinella dorbignyi",c(819094.222667711, 6228242.01522484)
"6",2011-01-06,"research","Rocha","Scinax granulatus","Animalia","Chordata","Amphibia","Anura","Hylidae","Scinax","Scinax granulatus",c(819094.222667711, 6228242.01522484)
"7",2011-01-08,"research","Rocha","Procyon cancrivorus","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Procyon","Procyon cancrivorus",c(798949.468589801, 6212388.02821013)
"8",2011-01-10,"research","Rocha","Otaria byronia","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Otaria","Otaria byronia",c(796205.881257503, 6188095.95842626)
"9",2011-01-12,"research","Rocha","Myiopsitta monachus","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Myiopsitta","Myiopsitta monachus",c(787198.767586778, 6206605.37670875)
"10",2011-01-12,"research","Rocha","Colaptes campestris","Animalia","Chordata","Aves","Piciformes","Picidae","Colaptes","Colaptes campestris",c(787010.72570638, 6204674.7821525)
"11",2011-01-12,"research","Rocha","Sicalis flaveola","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Sicalis","Sicalis flaveola",c(785172.762012454, 6202134.94846044)
"12",2011-01-12,"research","Rocha","Amazonetta brasiliensis","Animalia","Chordata","Aves","Anseriformes","Anatidae","Amazonetta","Amazonetta brasiliensis",c(787024.463551718, 6209807.7401746)
"13",2011-01-12,"research","Rocha","Porphyriops melanops","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porphyriops","Porphyriops melanops",c(787023.880064806, 6209812.93048787)
"14",2011-01-12,"research","Rocha","Milvago chimango","Animalia","Chordata","Aves","Falconiformes","Falconidae","Milvago","Milvago chimango",c(787160.337315978, 6206868.78761239)
"15",2011-01-12,"research","Rocha","Colaptes campestris","Animalia","Chordata","Aves","Piciformes","Picidae","Colaptes","Colaptes campestris",c(787174.917329259, 6206827.95886715)
"16",2011-01-13,"research","Rocha","Nannopterum brasilianum","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Nannopterum","Nannopterum brasilianum",c(822720.683139846, 6243268.23012929)
"17",2011-01-13,"research","Rocha","Larus dominicanus","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus dominicanus",c(822720.683139846, 6243268.23012929)
"18",2011-01-13,"research","Rocha","Mimus saturninus","Animalia","Chordata","Aves","Passeriformes","Mimidae","Mimus","Mimus saturninus",c(822588.723321561, 6243340.22963155)
"19",2011-01-13,"research","Rocha","Egretta thula","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta thula",c(822718.829003339, 6243250.24064064)
"20",2010-05-17,"research","Rocha","Spheniscus magellanicus","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Spheniscus","Spheniscus magellanicus",c(808089.508081113, 6175415.26236208)
