"","user_login","primer_registro","ultimo_registro","registros","tiempo_activo","registros_x_tiempo","categoria_usuario"
"1","a43426928","2020-08-05 19:43:18 UTC","2020-08-05 19:47:01 UTC",2,1.00258101851852,1.99485125197696,"principiante"
"2","a461","2022-10-20 13:32:40 UTC","2022-10-20 13:32:40 UTC",1,1,1,"principiante"
"3","aavillegas","2022-08-29 18:17:10 UTC","2022-08-30 19:07:30 UTC",2,2.0349537037037,0.982823342054374,"principiante"
"4","abel58","2020-01-03 13:58:53 UTC","2020-01-03 14:03:15 UTC",2,1.00303240740741,1.99395352057418,"principiante"
"5","abelenc","2021-03-01 15:10:09 UTC","2022-01-22 12:33:35 UTC",121,327.891273148148,0.369024764941913,"intermedio"
"6","abiplantas","2022-03-28 02:14:40 UTC","2022-03-28 02:17:05 UTC",5,1.00167824074074,4.99162285516205,"principiante"
"7","acosta91","2020-03-03 00:05:45 UTC","2022-05-11 04:48:27 UTC",1759,800.196319444444,2.19821056065495,"experimentado"
"8","adacelina","2022-10-09 20:26:18 UTC","2022-10-09 20:29:51 UTC",2,1.00246527777778,1.99508156974126,"principiante"
"9","adela2215","2022-03-30 14:37:44 UTC","2022-07-26 18:01:36 UTC",103,119.141574074074,0.864517703416959,"intermedio"
"10","adela50","2021-10-24 12:58:31 UTC","2021-10-24 13:15:12 UTC",2,1.01158564814815,1.97709408359172,"principiante"
"11","ademicheli","2020-06-07 19:45:13 UTC","2022-10-18 18:06:15 UTC",8,863.931273148148,0.00925999584532709,"principiante"
"12","adm77","2022-02-26 14:54:59 UTC","2022-10-25 12:42:38 UTC",11,241.908090277778,0.0454718152971608,"principiante"
"13","adolfoneufeld","2019-01-08 19:40:42 UTC","2020-12-16 09:27:18 UTC",2,708.574027777778,0.00282257029131082,"principiante"
"14","adrian667","2021-10-24 14:28:02 UTC","2022-03-29 14:43:30 UTC",21,157.010740740741,0.133748811711395,"principiante"
"15","adrian744","2022-01-31 17:06:08 UTC","2022-02-20 23:56:16 UTC",2,21.2848148148148,0.0939637021698655,"principiante"
"16","adriana_machado","2021-05-15 16:28:14 UTC","2022-10-16 14:28:56 UTC",271,519.917152777778,0.521236890439409,"intermedio"
"17","adriana455","2021-02-22 10:44:30 UTC","2021-04-26 16:58:59 UTC",4,64.2600578703704,0.0622470650130609,"principiante"
"18","adriana639","2021-12-28 23:51:07 UTC","2021-12-28 23:51:37 UTC",2,1.00034722222222,1.9993057965984,"principiante"
"19","adriana685","2022-09-04 01:11:29 UTC","2022-09-04 01:11:29 UTC",1,1,1,"principiante"
