Grupo,Orden,Familia,Nombre Científico,Nombres comunes,Codigo,Estado de Conservación,Nativa
Vasculares,Alismatales,Alismataceae,Echinodorus tenellus,,Ech_tenell,PRIORITARIA SNAP,Si
Vasculares,Alismatales,Araceae,Mangonia tweedieana,,Man_tweedi,PRIORITARIA SNAP,Si
Vasculares,Alismatales,Araceae,Mangonia uruguaya,,Man_urugua,PRIORITARIA SNAP,Si
Vasculares,Alismatales,Araceae,Philodendron tweedianum,,Phi_tweedi,PRIORITARIA SNAP,Si
Vasculares,Alismatales,Araceae,Spathicarpa hastifolia,,Spa_hastif,PRIORITARIA SNAP,Si
Vasculares,Alismatales,Hydrocharitaceae,Egeria naias,,Ege_naias,PRIORITARIA SNAP,Si
Vasculares,Alismatales,Hydrocharitaceae,Elodea callitrichoides,,Elo_callit,PRIORITARIA SNAP,Si
Vasculares,Alismatales,Potamogetonaceae,Potamogeton illinoensis,,Pot_illino,PRIORITARIA,Si
Vasculares,Alismatales,Potamogetonaceae,Potamogeton montevidensis,,Pot_montev,PRIORITARIA,Si
Vasculares,Alismatales,Zannichelliaceae,Zanichellia palustris,,Zan_palust,PRIORITARIA,Si
Vasculares,Apiales,Apiaceae,Anmmoselinum rosengurttii,,Anm_roseng,PRIORITARIA SNAP,Si
Vasculares,Apiales,Apiaceae,Apium prostratum,,Api_prostr,PRIORITARIA SNAP,Si
Vasculares,Apiales,Apiaceae,Cyclospermun uruguayense,,Cyc_urugua,PRIORITARIA SNAP,Si
Vasculares,Apiales,Apiaceae,Diposis saniculaefolia,,Dip_sanicu,PRIORITARIA SNAP,Si
Vasculares,Apiales,Apiaceae,Eryngium dorae,,Ery_dorae,PRIORITARIA SNAP,Si
Vasculares,Apiales,Apiaceae,Eryngium eriophorum,,Ery_erioph,PRIORITARIA SNAP,Si
Vasculares,Apiales,Apiaceae,Eryngium pristis,,Ery_pristi,PRIORITARIA SNAP,Si
Vasculares,Apiales,Apiaceae,Notiosciadium pampicola,,Not_pampic,PRIORITARIA SNAP,Si
Vasculares,Aquifoliales,Aquifoliaceae,Ilex dumosa,,Ile_dumosa,PRIORITARIA SNAP,Si
Vasculares,Aquifoliales,Aquifoliaceae,Ilex paraguariensis,yerba mate,Ile_paragu,No Prioritaria,Si
Vasculares,Aquifoliales,Cardiopteridaceae,Citronella gongonha,naranjillo,Cit_gongon,No Prioritaria,Si
Vasculares,Aquifoliales,Cardiopteridaceae,Citronella paniculata,naranjillo,Cit_panicu,No Prioritaria,Si
Vasculares,Arecales,Arecaceae,Butia capitata,palma butiá,But_capita,PRIORITARIA SNAP,Si
Vasculares,Arecales,Arecaceae,Butia lallemantii,,But_lallem,PRIORITARIA SNAP,Si
Vasculares,Arecales,Arecaceae,Butia paraguayensis,butiá enano,But_paragu,PRIORITARIA SNAP,Si
