"","especie","clase","familia","distribucion","largo_cm","status_global","status_regional"
"1","Larus dominicanus dominicanus",NA,NA,NA,NA,NA,NA
"2","Himantopus mexicanus melanurus",NA,NA,NA,NA,NA,NA
"3","Anser anser domesticus",NA,NA,NA,NA,NA,NA
"4","Anas platyrhynchos domesticus",NA,NA,NA,NA,NA,NA
"5","Erythrolamprus poecilogyrus sublineatus",NA,NA,NA,NA,NA,NA
"6","Colaptes campestris campestroides",NA,NA,NA,NA,NA,NA
"7","Philodryas aestiva subcarinata",NA,NA,NA,NA,NA,NA
"8","Dasypus septemcinctus hybridus",NA,NA,NA,NA,NA,NA
"9","Egretta thula thula",NA,NA,NA,NA,NA,NA
"10","Columba livia domestica",NA,NA,NA,NA,NA,NA
"11","Anser anser",NA,NA,NA,NA,NA,NA
"12","Cairina moschata domestica",NA,NA,NA,NA,NA,NA
"13","Bubo virginianus nacurutu",NA,NA,NA,NA,NA,NA
"14","Aramus guarauna guarauna",NA,NA,NA,NA,NA,NA
"15","Thalasseus sandvicensis eurygnathus",NA,NA,NA,NA,NA,NA
"16","Ozotoceros bezoarticus arerunguaensis",NA,NA,NA,NA,NA,NA
"17","Melopsittacus undulatus (domestic type)",NA,NA,NA,NA,NA,NA
"18","Falco sparverius cinnamominus",NA,NA,NA,NA,NA,NA
"19","Oxyrhopus rhombifer rhombifer",NA,NA,NA,NA,NA,NA
"20","Cathartes aura ruficollis",NA,NA,NA,NA,NA,NA
"21","Columbina picui picui",NA,NA,NA,NA,NA,NA
"22","Philodryas olfersii olfersii",NA,NA,NA,NA,NA,NA
"23","Calidris canutus rufa",NA,NA,NA,NA,NA,NA
"24","Felis catus",NA,NA,NA,NA,NA,NA
"25","Equus asinus",NA,NA,NA,NA,NA,NA
"26","Embernagra platensis platensis",NA,NA,NA,NA,NA,NA
"27","Equus caballus",NA,NA,NA,NA,NA,NA
"28","Canis familiaris",NA,NA,NA,NA,NA,NA
"29","Pyrocephalus rubinus rubinus",NA,NA,NA,NA,NA,NA
"30","Progne tapera fusca",NA,NA,NA,NA,NA,NA
"31","Furnarius rufus rufus",NA,NA,NA,NA,NA,NA
"32","Nannopterum brasilianum brasilianum",NA,NA,NA,NA,NA,NA
"33","Ardea alba egretta",NA,NA,NA,NA,NA,NA
"34","Molothrus bonariensis bonariensis",NA,NA,NA,NA,NA,NA
"35","Passer domesticus domesticus",NA,NA,NA,NA,NA,NA
"36","Vanellus chilensis lampronotus",NA,NA,NA,NA,NA,NA
"37","Progne chalybea macrorhamphus",NA,NA,NA,NA,NA,NA
"38","Tyrannus savana savana",NA,NA,NA,NA,NA,NA
"39","Nengetus cinereus cinereus",NA,NA,NA,NA,NA,NA
"40","Milvago chimango chimango",NA,NA,NA,NA,NA,NA
"41","Myiopsitta monachus monachus",NA,NA,NA,NA,NA,NA
"42","Patagioenas maculosa maculosa",NA,NA,NA,NA,NA,NA
"43","Patagioenas picazuro picazuro",NA,NA,NA,NA,NA,NA
"44","Pitangus sulphuratus argentinus",NA,NA,NA,NA,NA,NA
"45","Setophaga pitiayumi pitiayumi",NA,NA,NA,NA,NA,NA
"46","Sicalis flaveola pelzelni",NA,NA,NA,NA,NA,NA
"47","Spinus magellanicus magellanicus",NA,NA,NA,NA,NA,NA
"48","Jacana jacana jacana",NA,NA,NA,NA,NA,NA
"49","Agapornis personatus",NA,NA,NA,NA,NA,NA
"50","Aramides cajaneus cajaneus",NA,NA,NA,NA,NA,NA
"51","Mimus saturninus modulator",NA,NA,NA,NA,NA,NA
"52","Tyrannus melancholicus melancholicus",NA,NA,NA,NA,NA,NA
"53","Colaptes melanochloros melanolaimus",NA,NA,NA,NA,NA,NA
"54","Amazona aestiva",NA,NA,NA,NA,NA,NA
"55","Coryphospingus cucullatus rubescens",NA,NA,NA,NA,NA,NA
"56","Picumnus cirratus pilcomayensis",NA,NA,NA,NA,NA,NA
"57","Myiodynastes maculatus solitarius",NA,NA,NA,NA,NA,NA
"58","Oryctolagus cuniculus",NA,NA,NA,NA,NA,NA
"59","Rynchops niger intercedens",NA,NA,NA,NA,NA,NA
"60","Cervus elaphus",NA,NA,NA,NA,NA,NA
"61","Corvus splendens",NA,NA,NA,NA,NA,NA
"62","Calonectris diomedea borealis",NA,NA,NA,NA,NA,NA
"63","Falco peregrinus cassini",NA,NA,NA,NA,NA,NA
"64","Serpophaga subcristata munda",NA,NA,NA,NA,NA,NA
"65","Oryctolagus cuniculus domesticus",NA,NA,NA,NA,NA,NA
"66","Cairina moschata moschata",NA,NA,NA,NA,NA,NA
"67","Haematopus palliatus palliatus",NA,NA,NA,NA,NA,NA
"68","Xolmis irupero irupero",NA,NA,NA,NA,NA,NA
