species,status,trend
Campuloclinium macrocephalum,"NA","NA"
Noticastrum diffusum,"NA","NA"
Bidens aurea,"NA","NA"
Tessaria absinthioides,"NA","NA"
Baccharis notosergila,"NA","NA"
Gamochaeta falcata,"NA","NA"
Senecio platensis,"NA","NA"
Gyptis tanacetifolia,"NA","NA"
Matricaria chamomilla,"NA","NA"
Campovassouria cruciata,"NA","NA"
Anthemis cotula,"NA","NA"
Melaleuca citrina,"NA","NA"
Pterocaulon polystachyum,"NA","NA"
Stevia satureiifolia,"NA","NA"
Hypochaeris radicata,"NA","NA"
Pluchea sagittalis,"NA","NA"
Sesbania virgata,LC,Stable
Erythrina crista-galli,LC,Stable
Microgyne trifurcata,"NA","NA"
Senecio madagascariensis,"NA","NA"
Berroa gnaphalioides,"NA","NA"
Eclipta elliptica,"NA","NA"
Peltophorum dubium,LC,Stable
Spartium junceum,"NA","NA"
Schlechtendalia luzulifolia,"NA","NA"
Vachellia caven,LC,Stable
Vicia faba,"NA","NA"
Senna corymbosa,LC,Stable
Senecio brasiliensis,"NA","NA"
Feijoa sellowiana,LC,Stable
Mimosa bifurca,"NA","NA"
Centrosema virginianum,"NA","NA"
Trifolium polymorphum,"NA","NA"
Blepharocalyx salicifolius,"NA","NA"
Eugenia uniflora,LC,Unknown
Trifolium pratense,LC,Stable
Chrysolaena flexuosa,"NA","NA"
Cynara cardunculus,"NA","NA"
Lupinus multiflorus,"NA","NA"
Cirsium vulgare,"NA","NA"
Albizia julibrissin,"NA","NA"
Psidium cattleyanum,"NA","NA"
Bidens pilosa,"NA","NA"
Erigeron blakei,"NA","NA"
Mimosa australis,"NA","NA"
Grazielia serrata,"NA","NA"
Solidago chilensis,"NA","NA"
Chromolaena hirsuta,"NA","NA"
Elephantopus mollis,"NA","NA"
Vachellia karroo,LC,Stable
Calliandra tweediei,LC,Stable
Myrceugenia glaucescens,"NA","NA"
Verbesina subcordata,"NA","NA"
Achyrocline saturejoides,"NA","NA"
Bauhinia forficata,LC,Stable
Centaurea solstitialis,"NA","NA"
Baccharis coridifolia,"NA","NA"
Desmodium incanum,"NA","NA"
Grindelia pulchella,"NA","NA"
Helenium radiatum,"NA","NA"
Coreopsis lanceolata,"NA","NA"
Vernonanthura montevidensis,"NA","NA"
Chamaemelum mixtum,"NA","NA"
Acmella decumbens,"NA","NA"
Picrosia longifolia,"NA","NA"
Senecio crassiflorus,"NA","NA"
Lupinus bracteolaris,"NA","NA"
Pamphalea heterophylla,"NA","NA"
Vicia benghalensis,"NA","NA"
Chaptalia piloselloides,"NA","NA"
Trixis praestans,"NA","NA"
Acacia dealbata,LC,Unknown
Taraxacum officinale,"NA","NA"
Chromolaena ivifolia,"NA","NA"
Bidens subalternans,"NA","NA"
Arctium minus,"NA","NA"
Prosopis affinis,DD,NA
Austroeupatorium inulifolium,"NA","NA"
Camptosema rubicundum,"NA","NA"
Holocheilus hieracioides,"NA","NA"
Lessingianthus plantaginodes,"NA","NA"
Senecio bonariensis,"NA","NA"
Senecio pterophorus,"NA","NA"
Sonchus oleraceus,"NA","NA"
Gymnocoronis spilanthoides,"NA","NA"
Lotus corniculatus,"NA","NA"
Cichorium intybus,"NA","NA"
Geoffroea decorticans,LC,Stable
Myrrhinium atropurpureum,LC,Stable
Carduus acanthoides,"NA","NA"
Macroptilium prostratum,"NA","NA"
Chromolaena christieana,"NA","NA"
Myrcianthes cisplatensis,"NA","NA"
Baccharis trimera,"NA","NA"
Vernonanthura nudiflora,"NA","NA"
Urolepis hecatantha,"NA","NA"
Smallanthus connatus,"NA","NA"
Galactia marginalis,"NA","NA"
Sesbania punicea,LC,Stable
Trichocline humilis,"NA","NA"
Medicago sativa,LC,Stable
Eclipta prostrata,LC,Stable
Galinsoga parviflora,"NA","NA"
Aldama anchusifolia,"NA","NA"
Hypochaeris albiflora,"NA","NA"
Pseudogynoxys chenopodioides,"NA","NA"
Helianthus tuberosus,LC,Stable
Enterolobium contortisiliquum,LC,Stable
Trifolium repens,"NA","NA"
Youngia japonica,"NA","NA"
Soliva sessilis,"NA","NA"
Acacia longifolia,LC,Unknown
Xanthium strumarium,"NA","NA"
Sonchus asper,"NA","NA"
Helianthus annuus,LC,Stable
Hymenoxys anthemoides,"NA","NA"
Erigeron lorentzii,"NA","NA"
Eucalyptus cinerea,NT,Stable
Coleostephus myconis,"NA","NA"
Senecio selloi,"NA","NA"
Gleditsia triacanthos,LC,Stable
Baccharis articulata,"NA","NA"
Hedypnois rhagadioloides,"NA","NA"
Hypochaeris chillensis,"NA","NA"
Adesmia securigerifolia,"NA","NA"
Pseudognaphalium cheiranthifolium,"NA","NA"
Arachis villosa,NT,Unknown
Hieracium commersonii,"NA","NA"
Trifolium campestre,"NA","NA"
Myrcianthes pungens,EN,NA
Urospermum picroides,"NA","NA"
Lathyrus nervosus,"NA","NA"
Carduus nutans,"NA","NA"
Helminthotheca echioides,"NA","NA"
Baccharis dracunculifolia,"NA","NA"
Erigeron bonariensis,"NA","NA"
Trichocline cisplatina,"NA","NA"
Baccharis ochracea,"NA","NA"
Acacia melanoxylon,"NA","NA"
Lactuca serriola,"NA","NA"
Melilotus albus,"NA","NA"
Aspilia montevidensis,"NA","NA"
Lessingianthus macrocephalus,"NA","NA"
Sommerfeltia cabrerae,"NA","NA"
Senecio pulcher,"NA","NA"
Mimosa uraguensis,"NA","NA"
Mutisia coccinea,"NA","NA"
Acanthostyles buniifolius,"NA","NA"
Criscia stricta,"NA","NA"
Baccharis glutinosa,"NA","NA"
Prosopis nigra,DD,NA
Xanthium cavanillesii,"NA","NA"
Baccharis punctulata,LC,Stable
Pterocaulon balansae,"NA","NA"
Pseudognaphalium gaudichaudianum,"NA","NA"
