quality_grade,place_admin1_name,taxon_species_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,species,SNAPregional,SNAPestablecimiento,BiodiversidataEstablecimiento,IUCNglobal,trendGlobal
research,Montevideo,Campuloclinium macrocephalum,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Campuloclinium,Campuloclinium macrocephalum,NA,NA,nativa,NA,NA
research,Montevideo,Noticastrum diffusum,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Noticastrum,Noticastrum diffusum,NA,NA,nativa,NA,NA
research,Montevideo,Bidens aurea,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens aurea,NA,NA,introducida,NA,NA
research,Rocha,Tessaria absinthioides,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tessaria,Tessaria absinthioides,NA,NA,nativa,NA,NA
research,Maldonado,Baccharis notosergila,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,Baccharis notosergila,NA,NA,nativa,NA,NA
research,Rocha,Gamochaeta falcata,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Gamochaeta,Gamochaeta falcata,NA,NA,nativa,NA,NA
research,Rocha,Senecio platensis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio platensis,NA,NA,nativa,NA,NA
research,Rivera,Gyptis tanacetifolia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Gyptis,Gyptis tanacetifolia,NA,NA,nativa,NA,NA
research,Florida,Matricaria chamomilla,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Matricaria,Matricaria chamomilla,NA,NA,introducida,NA,NA
research,Maldonado,Campovassouria cruciata,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Campovassouria,Campovassouria cruciata,NA,NA,NA,NA,NA
research,Canelones,Anthemis cotula,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Anthemis,Anthemis cotula,NA,NA,introducida,NA,NA
research,Salto,Pterocaulon polystachyum,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Pterocaulon,Pterocaulon polystachyum,NA,NA,nativa,NA,NA
research,Rocha,Stevia satureiifolia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Stevia,Stevia satureiifolia,NA,NA,NA,NA,NA
research,Canelones,Hypochaeris radicata,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hypochaeris,Hypochaeris radicata,NA,NA,introducida,NA,NA
research,Montevideo,Pluchea sagittalis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Pluchea,Pluchea sagittalis,NA,NA,nativa,NA,NA
research,Rocha,Sesbania virgata,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Sesbania,Sesbania virgata,No Prioritaria,Si,nativa,LC,Stable
research,Tacuarembó,Erythrina crista-galli,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Erythrina,Erythrina crista-galli,No Prioritaria,Si,nativa,LC,Stable
research,Canelones,Microgyne trifurcata,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Microgyne,Microgyne trifurcata,NA,NA,nativa,NA,NA
research,Canelones,Senecio madagascariensis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio madagascariensis,No evaluada,No,introducida,NA,NA
research,Canelones,Berroa gnaphalioides,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Berroa,Berroa gnaphalioides,NA,NA,nativa,NA,NA
research,Canelones,Eclipta elliptica,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Eclipta,Eclipta elliptica,NA,NA,nativa,NA,NA
research,Tacuarembó,Peltophorum dubium,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Peltophorum,Peltophorum dubium,PRIORITARIA SNAP,Si,nativa,LC,Stable
research,Maldonado,Spartium junceum,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Spartium,Spartium junceum,No evaluada,No,introducida,NA,NA
research,Maldonado,Schlechtendalia luzulifolia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Schlechtendalia,Schlechtendalia luzulifolia,NA,NA,NA,NA,NA
research,Colonia,Vachellia caven,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,Vachellia caven,NA,NA,nativa,LC,Stable
research,Montevideo,Vicia faba,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia faba,NA,NA,NA,NA,NA
research,Florida,Senna corymbosa,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,Senna corymbosa,No Prioritaria,Si,nativa,LC,Stable
research,Rocha,Senecio brasiliensis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio brasiliensis,NA,NA,nativa,NA,NA
research,Treinta y Tres,Mimosa bifurca,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,Mimosa bifurca,PRIORITARIA SNAP,Si,nativa,NA,NA
research,Tacuarembó,Centrosema virginianum,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Centrosema,Centrosema virginianum,NA,NA,nativa,NA,NA
research,Treinta y Tres,Trifolium polymorphum,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium polymorphum,NA,NA,nativa,NA,NA
research,Canelones,Trifolium pratense,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium pratense,NA,NA,introducida,LC,Stable
research,Maldonado,Chrysolaena flexuosa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chrysolaena,Chrysolaena flexuosa,NA,NA,nativa,NA,NA
research,Colonia,Cynara cardunculus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cynara,Cynara cardunculus,NA,NA,introducida,NA,NA
research,Rivera,Lupinus multiflorus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus,Lupinus multiflorus,NA,NA,nativa,NA,NA
research,Lavalleja,Cirsium vulgare,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium vulgare,NA,NA,introducida,NA,NA
research,Maldonado,Albizia julibrissin,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Albizia,Albizia julibrissin,NA,NA,NA,NA,NA
research,Maldonado,Bidens pilosa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens pilosa,NA,NA,introducida,NA,NA
research,Rocha,Erigeron blakei,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron blakei,NA,NA,NA,NA,NA
research,Maldonado,Mimosa australis,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,Mimosa australis,PRIORITARIA SNAP,Si,NA,NA,NA
research,Maldonado,Grazielia serrata,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Grazielia,Grazielia serrata,NA,NA,nativa,NA,NA
research,Río Negro,Solidago chilensis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago chilensis,NA,NA,nativa,NA,NA
research,Río Negro,Chromolaena hirsuta,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chromolaena,Chromolaena hirsuta,NA,NA,nativa,NA,NA
research,Río Negro,Elephantopus mollis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Elephantopus,Elephantopus mollis,NA,NA,nativa,NA,NA
research,Montevideo,Vachellia karroo,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,Vachellia karroo,NA,NA,NA,LC,Stable
research,Montevideo,Calliandra tweediei,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Calliandra,Calliandra tweediei,NA,NA,NA,LC,Stable
research,Río Negro,Verbesina subcordata,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Verbesina,Verbesina subcordata,No Prioritaria,Si,nativa,NA,NA
research,San José,Achyrocline saturejoides,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achyrocline,Achyrocline saturejoides,NA,NA,NA,NA,NA
research,Río Negro,Bauhinia forficata,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,Bauhinia forficata,NA,NA,nativa,LC,Stable
research,Río Negro,Centaurea solstitialis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,Centaurea solstitialis,NA,NA,introducida,NA,NA
research,Río Negro,Baccharis coridifolia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,Baccharis coridifolia,NA,NA,nativa,NA,NA
research,Soriano,Desmodium incanum,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,Desmodium incanum,NA,NA,nativa,NA,NA
research,Río Negro,Grindelia pulchella,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Grindelia,Grindelia pulchella,NA,NA,nativa,NA,NA
research,Paysandú,Helenium radiatum,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helenium,Helenium radiatum,NA,NA,nativa,NA,NA
research,Canelones,Coreopsis lanceolata,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Coreopsis,Coreopsis lanceolata,NA,NA,introducida,NA,NA
research,Paysandú,Vernonanthura montevidensis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Vernonanthura,Vernonanthura montevidensis,NA,NA,nativa,NA,NA
research,Montevideo,Chamaemelum mixtum,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chamaemelum,Chamaemelum mixtum,NA,NA,NA,NA,NA
research,Río Negro,Acmella decumbens,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acmella,Acmella decumbens,NA,NA,nativa,NA,NA
research,Río Negro,Picrosia longifolia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Picrosia,Picrosia longifolia,NA,NA,nativa,NA,NA
research,Montevideo,Senecio crassiflorus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio crassiflorus,NA,NA,nativa,NA,NA
research,Montevideo,Lupinus bracteolaris,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus,Lupinus bracteolaris,NA,NA,nativa,NA,NA
research,Río Negro,Pamphalea heterophylla,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Pamphalea,Pamphalea heterophylla,NA,NA,NA,NA,NA
research,San José,Vicia benghalensis,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia benghalensis,NA,NA,introducida,NA,NA
research,Río Negro,Chaptalia piloselloides,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chaptalia,Chaptalia piloselloides,NA,NA,nativa,NA,NA
research,Río Negro,Trixis praestans,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Trixis,Trixis praestans,No Prioritaria,Si,nativa,NA,NA
research,Soriano,Acacia dealbata,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia dealbata,NA,NA,NA,LC,Unknown
research,Río Negro,Taraxacum officinale,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,Taraxacum officinale,NA,NA,introducida,NA,NA
research,Río Negro,Chromolaena ivifolia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chromolaena,Chromolaena ivifolia,NA,NA,nativa,NA,NA
research,Río Negro,Bidens subalternans,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,Bidens subalternans,NA,NA,nativa,NA,NA
research,Montevideo,Arctium minus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Arctium,Arctium minus,NA,NA,introducida,NA,NA
research,Río Negro,Prosopis affinis,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,Prosopis affinis,PRIORITARIA SNAP,Si,nativa,DD,NA
research,Río Negro,Austroeupatorium inulifolium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Austroeupatorium,Austroeupatorium inulifolium,NA,NA,nativa,NA,NA
research,Río Negro,Camptosema rubicundum,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Camptosema,Camptosema rubicundum,NA,NA,nativa,NA,NA
research,Río Negro,Holocheilus hieracioides,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Holocheilus,Holocheilus hieracioides,NA,NA,nativa,NA,NA
research,Soriano,Lessingianthus plantaginodes,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lessingianthus,Lessingianthus plantaginodes,NA,NA,nativa,NA,NA
research,Río Negro,Senecio bonariensis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio bonariensis,NA,NA,nativa,NA,NA
research,Río Negro,Senecio pterophorus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio pterophorus,NA,NA,nativa,NA,NA
research,Montevideo,Sonchus oleraceus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Sonchus,Sonchus oleraceus,NA,NA,introducida,NA,NA
research,Río Negro,Gymnocoronis spilanthoides,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Gymnocoronis,Gymnocoronis spilanthoides,NA,NA,nativa,NA,NA
research,Río Negro,Lotus corniculatus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus,Lotus corniculatus,NA,NA,introducida,NA,NA
research,Río Negro,Cichorium intybus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,Cichorium intybus,NA,NA,introducida,NA,NA
research,Río Negro,Geoffroea decorticans,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Geoffroea,Geoffroea decorticans,No Prioritaria,Si,nativa,LC,Stable
research,Río Negro,Carduus acanthoides,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Carduus,Carduus acanthoides,NA,NA,introducida,NA,NA
research,Río Negro,Macroptilium prostratum,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Macroptilium,Macroptilium prostratum,NA,NA,nativa,NA,NA
research,Río Negro,Chromolaena christieana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chromolaena,Chromolaena christieana,NA,NA,NA,NA,NA
research,Río Negro,Baccharis trimera,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,Baccharis trimera,NA,NA,nativa,NA,NA
research,Río Negro,Vernonanthura nudiflora,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Vernonanthura,Vernonanthura nudiflora,NA,NA,nativa,NA,NA
research,Río Negro,Urolepis hecatantha,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Urolepis,Urolepis hecatantha,NA,NA,nativa,NA,NA
research,Maldonado,Smallanthus connatus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Smallanthus,Smallanthus connatus,NA,NA,nativa,NA,NA
research,Río Negro,Galactia marginalis,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Galactia,Galactia marginalis,NA,NA,nativa,NA,NA
research,Canelones,Sesbania punicea,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Sesbania,Sesbania punicea,No Prioritaria,Si,nativa,LC,Stable
research,Río Negro,Trichocline humilis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Trichocline,Trichocline humilis,NA,NA,nativa,NA,NA
research,Río Negro,Medicago sativa,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,Medicago sativa,NA,NA,introducida,LC,Stable
research,Soriano,Eclipta prostrata,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Eclipta,Eclipta prostrata,NA,NA,nativa,LC,Stable
research,Montevideo,Galinsoga parviflora,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Galinsoga,Galinsoga parviflora,NA,NA,NA,NA,NA
research,Río Negro,Aldama anchusifolia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Aldama,Aldama anchusifolia,NA,NA,nativa,NA,NA
research,Río Negro,Hypochaeris albiflora,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hypochaeris,Hypochaeris albiflora,NA,NA,nativa,NA,NA
research,Montevideo,Pseudogynoxys chenopodioides,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Pseudogynoxys,Pseudogynoxys chenopodioides,NA,NA,NA,NA,NA
research,Montevideo,Helianthus tuberosus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus tuberosus,NA,NA,NA,LC,Stable
research,Montevideo,Enterolobium contortisiliquum,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Enterolobium,Enterolobium contortisiliquum,No Prioritaria,Si,nativa,LC,Stable
research,Canelones,Trifolium repens,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium repens,NA,NA,introducida,NA,NA
research,Montevideo,Youngia japonica,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Youngia,Youngia japonica,NA,NA,introducida,NA,NA
research,Rivera,Soliva sessilis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Soliva,Soliva sessilis,NA,NA,nativa,NA,NA
research,Montevideo,Acacia longifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia longifolia,No evaluada,No,NA,LC,Unknown
research,Rocha,Xanthium strumarium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Xanthium,Xanthium strumarium,NA,NA,introducida,NA,NA
research,Paysandú,Sonchus asper,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Sonchus,Sonchus asper,NA,NA,introducida,NA,NA
research,Canelones,Helianthus annuus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus annuus,NA,NA,NA,LC,Stable
