"","id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","distribucion","distribucion_2","Habito1","Habito2","status_global"
"19",8919161,"2017-11-19","ljbrown","visitante",54,-34.43388,-56.0078388833,"Canelones","Magnoliopsida","Asteraceae","Anthemis cotula",9,"Media","Hierba","Anual",""
"28",10482107,"2014-05-27","el-markos","visitante",183,-32.3492077932,-55.4719993699,"Tacuarembó","Magnoliopsida","Solanaceae","Solanum viarum",4,"Baja","Arbusto","Perenne","LC"
"30",11692083,"2018-04-28","gonzalomios","visitante",152,-34.42018664,-55.35119536,"Lavalleja","Magnoliopsida","Cactaceae","Frailea pygmaea",6,"Media","Hierba","Perenne","LC"
"32",13050586,"2017-01-06","liuid","visitante",7,-31.6193900448,-56.0471954517,"Tacuarembó","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"38",13060097,"2017-01-08","liuid","visitante",7,-32.6150018434,-55.8323291316,"Tacuarembó","Magnoliopsida","Fabaceae","Peltophorum dubium",4,"Baja","Arbol","Perenne","LC"
"39",13091944,"2017-01-10","liuid","visitante",7,-34.4403822246,-57.8716072408,"Colonia","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"41",13098427,"2017-01-12","liuid","visitante",7,-34.8780506474,-55.2737672405,"Maldonado","Magnoliopsida","Cactaceae","Opuntia arechavaletae",2,"Baja","Arbusto","Perenne","LC"
"50",15379773,"2013-10-14","carancho","visitante",11,-34.3796041235,-57.2553873199,"Colonia","Magnoliopsida","Fabaceae","Vachellia caven",14,"Media","Arbusto","Perenne","LC"
"55",17784098,"2014-09-01","mbernini","visitante",274,-31.2238098887,-57.8540874704,"Salto","Magnoliopsida","Fabaceae","Vachellia caven",14,"Media","Arbusto","Perenne","LC"
"56",18116429,"2012-11-20","lsimuns","visitante",442,-34.4550013053,-57.8455140444,"Colonia","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"81",19975593,"2019-01-30","anaineszanfabrobulfo","visitante",172,-34.8043383333,-55.9451166667,"Canelones","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"82",19975607,"2019-01-30","anaineszanfabrobulfo","visitante",172,-34.8043365479,-55.9451179504,"Canelones","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"229",23923268,"2019-04-29","vegapaez","visitante",26,-34.7906083333,-56.2765616667,"Montevideo","Magnoliopsida","Fabaceae","Calliandra tweediei",13,"Media","Arbusto","Perenne","LC"
"232",24360441,"2019-04-30","vegapaez","visitante",26,-34.6927083333,-56.0502361667,"Canelones","Magnoliopsida","Fabaceae","Calliandra tweediei",13,"Media","Arbusto","Perenne","LC"
"238",28819271,"2019-01-05","luca284","visitante",443,-34.8984675234,-56.1604081839,"Montevideo","Magnoliopsida","Fabaceae","Enterolobium contortisiliquum",5,"Baja","Arbol","Perenne","LC"
"245",30386142,"2019-08-06","sebastianlescano","visitante",25,-34.7586230954,-54.5462485741,"Rocha","Magnoliopsida","Cactaceae","Opuntia arechavaletae",2,"Baja","Arbusto","Perenne","LC"
"247",30448358,"2019-08-07","sebastianlescano","visitante",25,-34.914706156,-55.0469458674,"Maldonado","Magnoliopsida","Cactaceae","Opuntia aurantiaca",1,"Baja","Subarbusto","Perenne","LC"
"333",35802548,"2019-11-09","diegoalmendras","visitante",16,-34.76755647,-55.7157136712,"Canelones","Magnoliopsida","Fabaceae","Acacia longifolia",5,"Baja","Arbol","Perenne","LC"
"358",36249950,"2019-03-20","nic_venter","visitante",20,-34.90460988,-55.0284451597,"Maldonado","Magnoliopsida","Cactaceae","Opuntia aurantiaca",1,"Baja","Subarbusto","Perenne","LC"
"359",36250178,"2019-03-20","nic_venter","visitante",20,-34.8994311897,-55.24839237,"Maldonado","Magnoliopsida","Cactaceae","Opuntia arechavaletae",2,"Baja","Arbusto","Perenne","LC"
"561",37985580,"2020-01-25","lucaskaminski","visitante",134,-34.3826176864,-55.0755572319,"Lavalleja","Magnoliopsida","Asteraceae","Baccharis crispa",4,"Baja","Arbusto","Perenne","NE"
"599",38196136,"2020-01-17","lindaloren","visitante",133,-34.8181587,-56.2138256,"Montevideo","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"602",38263167,"2020-01-31","mainesu","visitante",61,-34.8161151315,-54.6173794417,"Maldonado","Magnoliopsida","Asteraceae","Aspilia montevidensis",12,"Media","Hierba ","Perenne","NE"
"610",38344714,"2020-02-01","jmass","visitante",14,-34.8921009953,-56.2922487237,"Montevideo","Magnoliopsida","Asteraceae","Aspilia montevidensis",12,"Media","Hierba ","Perenne","NE"
"614",38364284,"2011-11-13","liuid","visitante",7,-33.0211411653,-57.994825257,"Soriano","Magnoliopsida","Cactaceae","Echinopsis oxygona",2,"Baja","Hierba","Perenne","LC"
"616",38424059,"2018-09-09","dianafr","visitante",13,-34.826866572,-55.0635810652,"Maldonado","Magnoliopsida","Cactaceae","Parodia concinna",7,"Media","Hierba","Anual","VU"
"669",38920888,"2020-02-14","romigaleota","visitante",4,-31.6168450931,-57.9777306861,"Paysandú","Magnoliopsida","Asteraceae","Austroeupatorium inulifolium",14,"Media","Arbusto","Perenne","NE"
"676",38974113,"2020-02-09","romigaleota","visitante",4,-31.4601282223,-57.9101625293,"Paysandú","Magnoliopsida","Fabaceae","Sesbania virgata",11,"Media","Arbusto","Perenne","LC"
"679",38978470,"2020-02-10","romigaleota","visitante",4,-31.617063963,-57.9812644512,"Paysandú","Magnoliopsida","Asteraceae","Austroeupatorium inulifolium",14,"Media","Arbusto","Perenne","NE"
"680",38978539,"2020-02-14","romigaleota","visitante",4,-31.5134684145,-57.8296600478,"Paysandú","Magnoliopsida","Asteraceae","Austroeupatorium inulifolium",14,"Media","Arbusto","Perenne","NE"
"716",39539949,"2020-03-02","johnpage","visitante",258,-34.473325922,-57.8519708495,"Colonia","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"766",40130760,"2015-11-20","sdrov","visitante",18,-33.7418,-53.7456,"Rocha","Magnoliopsida","Cactaceae","Parodia mammulosa",11,"Media","Hierba","Perenne","LC"
"769",40252618,"2020-03-17","nic_venter","visitante",20,-34.2469318797,-54.7205511097,"Maldonado","Magnoliopsida","Cactaceae","Opuntia megapotamica",19,"Alta","Arbusto","Perenne","LC"
"858",42172251,"2019-10-31","mjbirder","visitante",50,-34.86,-56.2011111111,"Montevideo","Magnoliopsida","Fabaceae","Calliandra tweediei",13,"Media","Arbusto","Perenne","LC"
"859",42172327,"2019-10-31","mjbirder","visitante",50,-34.9163888889,-54.8961111111,"Maldonado","Magnoliopsida","Fabaceae","Calliandra tweediei",13,"Media","Arbusto","Perenne","LC"
"868",42274169,"2019-11-12","linamariamon","visitante",86,-34.9838505217,-55.155262399,"Maldonado","Magnoliopsida","Cactaceae","Parodia concinna",7,"Media","Hierba","Anual","VU"
"873",42423857,"2016-11-18","xolmis-irupero","visitante",31,-34.4364984088,-57.8796781665,"Colonia","Magnoliopsida","Fabaceae","Erythrina crista-galli",10,"Media","Arbol","Perenne","LC"
"904",43411791,"2013-10-13","goncrisdi","visitante",9,-34.3236296117,-57.2317087629,"Colonia","Magnoliopsida","Cactaceae","Echinopsis oxygona",2,"Baja","Hierba","Perenne","LC"
"990",46697058,"2020-02-07","z_mcgrath","visitante",37,-32.8537128052,-58.0527572706,"Río Negro","Magnoliopsida","Cactaceae","Echinopsis oxygona",2,"Baja","Hierba","Perenne","LC"
"991",46697171,"2020-02-07","z_mcgrath","visitante",37,-32.8649849098,-58.0723501369,"Río Negro","Magnoliopsida","Cactaceae","Echinopsis oxygona",2,"Baja","Hierba","Perenne","LC"
"1004",47087288,"2020-02-07","z_mcgrath","visitante",37,-32.8782139487,-58.0445503816,"Río Negro","Magnoliopsida","Cactaceae","Lepismium lumbricoides",13,"Media","Hierba","Perenne","LC"
"1067",52977152,"2019-01-05","juanmolachino","visitante",424,-34.9102803206,-56.1393759525,"Montevideo","Magnoliopsida","Fabaceae","Vachellia farnesiana",3,"Baja","Arbusto","Perenne","LC"
"1077",54105642,"2018-11-27","corygiacobbe","visitante",27,-34.423184506,-55.3503293574,"Lavalleja","Magnoliopsida","Asteraceae","Baccharis aliena",12,"Media","Arbusto","Perenne","NE"
