"","id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","frequencia","distribucion","distribucion_2","Habito1","Hab1_freq","Habito2","Hab2_freq","status_global"
"1",5097511,"2017-02-12","patriciasueta","principiante",134,-34.8656425476,-56.1967773438,"Montevideo","Magnoliopsida","Solanaceae","Nicotiana longiflora",28,7,"Media","Hierba",2782,"Perenne",3810,"NE"
"2",5119797,"2017-02-16","patriciasueta","principiante",134,-34.8672485352,-56.2015571594,"Montevideo","Magnoliopsida","Solanaceae","Nicotiana longiflora",28,7,"Media","Hierba",2782,"Perenne",3810,"NE"
"3",5119800,"2017-02-16","patriciasueta","principiante",134,-34.867225647,-56.2017059326,"Montevideo","Magnoliopsida","Solanaceae","Nicotiana longiflora",28,7,"Media","Hierba",2782,"Perenne",3810,"NE"
"4",5232404,"2017-03-02","botanistuy","principiante",227,-34.80033,-56.28908,"Montevideo","Magnoliopsida","Asteraceae","Campuloclinium macrocephalum",39,16,"Media","Hierba",2782,"Perenne",3810,"NE"
"5",5232469,"2017-02-14","botanistuy","principiante",227,-34.8818283333,-56.1178083333,"Montevideo","Magnoliopsida","Asteraceae","Noticastrum diffusum",24,11,"Media","Hierba",2782,"Perenne",3810,"NE"
"6",6547306,"2017-04-30","botanistuy","principiante",227,-34.8344533333,-56.2701833333,"Montevideo","Magnoliopsida","Asteraceae","Bidens aurea",11,0,"NE","Hierba",2782,"Perenne",3810,"NE"
"7",6547353,"2017-01-18","darth-botanicus","principiante",554,-34.04907732,-53.54980342,"Rocha","Magnoliopsida","Asteraceae","Tessaria absinthioides",17,3,"Baja","Arbusto",912,"Perenne",3810,"NE"
"8",6547468,"2017-04-01","darth-botanicus","principiante",554,-34.6971246766,-55.288652703,"Maldonado","Magnoliopsida","Asteraceae","Baccharis notosergila",21,9,"Media","Arbusto",912,"Perenne",3810,"NE"
"9",6750287,"2004-03-04","botanistuy","principiante",227,-34.798176,-55.493488,"Canelones","Magnoliopsida","Asteraceae","Noticastrum diffusum",24,11,"Media","Hierba",2782,"Perenne",3810,"NE"
"10",7093807,"2017-07-17","eugeniapedrero","principiante",556,-34.05175242,-53.54543666,"Rocha","Magnoliopsida","Asteraceae","Gamochaeta falcata",2,6,"Media","Hierba",2782,"Perenne",3810,"NE"
"11",7093808,"2017-07-17","eugeniapedrero","principiante",556,-34.05191572,-53.54551481,"Rocha","Magnoliopsida","Asteraceae","Senecio platensis",15,3,"Baja","Subarbusto",509,"Perenne",3810,"NE"
"12",7093809,"2017-07-17","eugeniapedrero","principiante",556,-34.05192162,-53.54545696,"Rocha","Magnoliopsida","Asteraceae","Senecio platensis",15,3,"Baja","Subarbusto",509,"Perenne",3810,"NE"
"13",8493243,"2017-09-25","juan-lacerda","principiante",798,-31.0151361167,-55.5851966667,"Rivera","Magnoliopsida","Asteraceae","Gyptis tanacetifolia",9,11,"Media","Subarbusto",509,"Perenne",3810,"NE"
"14",9283367,"2017-12-26","botanistuy","principiante",227,-31.0575322062,-57.786915321,"Salto","Magnoliopsida","Asteraceae","Pterocaulon polystachyum",14,3,"Baja","Hierba",2782,"Perenne",3810,"NE"
"15",9283373,"2017-12-26","botanistuy","principiante",227,-31.0575464554,-57.786906017,"Salto","Magnoliopsida","Asteraceae","Baccharis notosergila",21,9,"Media","Arbusto",912,"Perenne",3810,"NE"
"16",9519940,"2018-01-18","darth-botanicus","principiante",554,-34.0477676392,-53.547870636,"Rocha","Magnoliopsida","Asteraceae","Stevia satureiifolia",41,7,"Media","Subarbusto",509,"Perenne",3810,"NE"
"17",10184786,"2018-03-11","patriciasueta","principiante",134,-34.78849566,-55.49813988,"Canelones","Magnoliopsida","Asteraceae","Hypochaeris radicata",40,7,"Media","Hierba",2782,"Perenne",3810,"NE"
"18",11213765,"2018-04-20","darth-botanicus","principiante",554,-34.83658572,-56.21727447,"Montevideo","Magnoliopsida","Asteraceae","Pluchea sagittalis",31,3,"Baja","Hierba",2782,"Perenne",3810,"NE"
"19",12688752,"2018-05-20","hugoosano","principiante",1109,-34.6487159729,-54.1715927124,"Rocha","Magnoliopsida","Fabaceae","Sesbania virgata",10,11,"Media","Arbusto",912,"Perenne",3810,"LC"
"20",13057645,"2018-06-02","botanistuy","principiante",227,-34.74173,-55.6387216667,"Canelones","Magnoliopsida","Asteraceae","Microgyne trifurcata",6,13,"Media","Hierba",2782,"Perenne",3810,"NE"
"21",13057659,"2018-06-02","botanistuy","principiante",227,-34.741275,-55.6393866667,"Canelones","Magnoliopsida","Asteraceae","Senecio madagascariensis",80,5,"Baja","Hierba",2782,"Perenne",3810,"NE"
"22",13057673,"2018-06-02","botanistuy","principiante",227,-34.7412716667,-55.6393583333,"Canelones","Magnoliopsida","Asteraceae","Baccharis notosergila",21,9,"Media","Arbusto",912,"Perenne",3810,"NE"
"23",13057697,"2018-06-02","botanistuy","principiante",227,-34.7410616667,-55.63977,"Canelones","Magnoliopsida","Asteraceae","Berroa gnaphalioides",3,8,"Media","Hierba",2782,"Perenne",3810,"NE"
"24",13057814,"2018-06-02","botanistuy","principiante",227,-34.741245,-55.639405,"Canelones","Magnoliopsida","Asteraceae","Eclipta elliptica",25,10,"Media","Hierba",2782,"Perenne",3810,"NE"
"25",16374028,"2018-08-26","patriciasueta","principiante",134,-34.86556928,-56.19657113,"Montevideo","Magnoliopsida","Fabaceae","Vicia faba",2,1,"Baja","Hierba",2782,"Anual",766,"NE"
"26",17631570,"2018-10-18","alexisnez","principiante",260,-33.9437072,-55.63062297,"Florida","Magnoliopsida","Cactaceae","Parodia mammulosa",35,11,"Media","Hierba",2782,"Perenne",3810,"LC"
