"","id","observado","user_id","latitude","longitude","place_admin1_name","especie","clase","familia","distribucion","largo_cm","status_global","status_regional","usuario","nivel","ranking"
"1",25394,"2010-05-14",2235,-34.8836111,-56.1819444,"Montevideo","Paroaria coronata","Aves","Thraupidae",19,17,"LC","LC",NA,NA,NA
"2",29269,"2010-05-13",2235,-34.8432699046,-56.1886241301,"Montevideo","Larus atlanticus","Aves","Laridae",6,48,"NT","EN",NA,NA,NA
"3",29270,"2011-05-16",2235,-34.9321044628,-56.1622810364,"Montevideo","Haematopus palliatus","Aves","Haematopodidae",8,35,"LC","LC",NA,NA,NA
"4",29274,"2010-05-14",2235,-34.913525558,-56.1667442322,"Montevideo","Aramides cajaneus","Aves","Rallidae",19,36,"LC","LC",NA,NA,NA
"5",87220,"2011-01-06",1178,-34.0379800402,-53.5438978672,"Rocha","Rhinella dorbignyi","Amphibia","Bufonidae",10,7,"LC","LC",NA,NA,NA
"6",87221,"2011-01-06",1178,-34.0379800402,-53.5438978672,"Rocha","Scinax granulatus","Amphibia","Hylidae",19,4,"LC","LC",NA,NA,NA
"7",87222,"2011-01-08",1178,-34.1866718618,-53.7563180923,"Rocha","Procyon cancrivorus","Mammalia","Procyonidae",19,107,"LC","LC",NA,NA,NA
"8",87225,"2011-01-10",1178,-34.4061860207,-53.7776952982,"Rocha","Otaria byronia","Mammalia","Otariidae",5,210,"LC","LC",NA,NA,NA
"9",87228,"2011-01-12",1178,-34.2420492886,-53.881727457,"Rocha","Myiopsitta monachus","Aves","Psittacidae",19,27,"LC","LC",NA,NA,NA
"10",87229,"2011-01-12",1178,-34.2594865145,-53.8831248879,"Rocha","Colaptes campestris","Aves","Picidae",19,27,"LC","LC",NA,NA,NA
"11",87232,"2011-01-12",1178,-34.2828642395,-53.9022195339,"Rocha","Sicalis flaveola","Aves","Thraupidae",19,12,"LC","LC",NA,NA,NA
"12",87233,"2011-01-12",1178,-34.2132594318,-53.8846805692,"Rocha","Amazonetta brasiliensis","Aves","Anatidae",19,36,"LC","LC",NA,NA,NA
"13",87234,"2011-01-12",1178,-34.2132128526,-53.8846886158,"Rocha","Porphyriops melanops","Aves","Rallidae",19,20,"LC","LC",NA,NA,NA
"14",87235,"2011-01-12",1178,-34.2396878353,-53.8822317123,"Rocha","Milvago chimango","Aves","Falconidae",19,37,"LC","LC",NA,NA,NA
"15",87236,"2011-01-12",1178,-34.2400514813,-53.882060051,"Rocha","Colaptes campestris","Aves","Picidae",19,27,"LC","LC",NA,NA,NA
"16",87238,"2011-01-13",1178,-33.9016017535,-53.5102200508,"Rocha","Nannopterum brasilianum","Aves","Phalacrocoracidae",19,63,"LC","LC",NA,NA,NA
"17",87239,"2011-01-13",1178,-33.9016017535,-53.5102200508,"Rocha","Larus dominicanus","Aves","Laridae",16,55,"LC","LC",NA,NA,NA
"18",87240,"2011-01-13",1178,-33.900993992,-53.5116711259,"Rocha","Mimus saturninus","Aves","Mimidae",19,25,"LC","LC",NA,NA,NA
"19",87241,"2011-01-13",1178,-33.9017642678,-53.5102334619,"Rocha","Egretta thula","Aves","Ardeidae",19,39,"LC","LC",NA,NA,NA
"20",121716,"2010-05-17",2235,-34.5168752562,-53.6440393386,"Rocha","Spheniscus magellanicus","Aves","Spheniscidae",6,47,"NT","NT",NA,NA,NA
"21",121995,"2010-05-14",2235,-34.9157777705,-56.1720657349,"Montevideo","Egretta thula","Aves","Ardeidae",19,39,"LC","LC",NA,NA,NA
"22",316443,"2013-06-26",18585,-33.9546714965,-53.4586029429,"Rocha","Melanophryniscus montevidensis","Amphibia","Bufonidae",4,3,"VU","CR","intiporley","principiante",486
"23",411870,"2013-09-13",1392,-34.913675,-56.17664,"Montevideo","Vanellus chilensis","Aves","Charadriidae",19,32,"LC","LC",NA,NA,NA
"24",413458,"2013-09-13",1392,-34.924194,-56.150624,"Montevideo","Fulica armillata","Aves","Rallidae",19,35,"LC","LC",NA,NA,NA
"25",414272,"2013-09-13",1392,-34.924218,-56.150898,"Montevideo","Rollandia rolland","Aves","Podicipedidae",19,25,"LC","LC",NA,NA,NA
"26",435389,"2013-09-13",1392,-34.924556,-56.151807,"Montevideo","Haematopus palliatus","Aves","Haematopodidae",8,35,"LC","LC",NA,NA,NA
"27",449636,"2013-09-27",18585,-33.8440209971,-53.5059229415,"Rocha","Melanophryniscus montevidensis","Amphibia","Bufonidae",4,3,"VU","CR","intiporley","principiante",486
"28",449639,"2013-09-28",18585,-33.951334,-53.518739,"Rocha","Leptodactylus gracilis","Amphibia","Leptodactylidae",19,4.5,"LC","LC","intiporley","principiante",486
"29",644794,"2014-04-23",36730,-34.2613638889,-55.9728861111,"Florida","Theristicus caerulescens","Aves","Threskiornithidae",19,62,"LC","LC",NA,NA,NA
"30",645397,"2014-04-24",36730,-32.0747194444,-55.7520305556,"Tacuarembó","Athene cunicularia","Aves","Strigidae",19,25,"LC","NT",NA,NA,NA
"31",645531,"2014-04-24",36730,-32.188075,-55.7126416667,"Tacuarembó","Buteogallus meridionalis","Aves","Accipitridae",19,51,"LC","LC",NA,NA,NA
"32",645539,"2014-04-24",36730,-32.1880638889,-55.7126194444,"Tacuarembó","Rhea americana","Aves","Rheidae",19,140,"NT","LC",NA,NA,NA
"33",645610,"2014-04-24",36730,-31.8274638889,-56.00265,"Tacuarembó","Aramides ypecaha","Aves","Rallidae",19,45,"LC","LC",NA,NA,NA
"34",645622,"2014-04-24",36730,-31.7568475668,-55.8011366481,"Tacuarembó","Heteroxolmis dominicana","Aves","Tyrannidae",17,19,"VU","VU",NA,NA,NA
"35",646149,"2014-04-27",36730,-34.957405,-54.9442966667,"Maldonado","Haematopus palliatus","Aves","Haematopodidae",8,35,"LC","LC",NA,NA,NA
"36",646189,"2012-12-23",36730,-34.039,-53.5413333333,"Rocha","Rhinella arenarum","Amphibia","Bufonidae",10,11.5,"LC","LC",NA,NA,NA
"37",646219,"2012-12-23",36730,-34.401368,-53.782657,"Rocha","Rhinella arenarum","Amphibia","Bufonidae",10,11.5,"LC","LC",NA,NA,NA
"38",646232,"2013-11-10",36730,-34.964212,-54.949528,"Maldonado","Otaria byronia","Mammalia","Otariidae",5,210,"LC","LC",NA,NA,NA
"39",646278,"2012-12-23",36730,-34.406078,-53.778441,"Rocha","Arctocephalus australis","Mammalia","Otariidae",7,150,"LC","LC",NA,NA,NA
