id,observado,usuario,latitude,longitude,place_admin1_name,especie,clase,familia,distribucion,largo_cm,status_global,status_regional,nivel,ranking
25394,2010-05-14,iris,-34.8836111,-56.1819444,Montevideo,Paroaria coronata,Aves,Thraupidae,19,17,LC,LC,visitante,104
29269,2010-05-13,iris,-34.8432699046,-56.1886241301,Montevideo,Larus atlanticus,Aves,Laridae,6,48,NT,EN,visitante,104
29270,2011-05-16,iris,-34.9321044628,-56.1622810364,Montevideo,Haematopus palliatus,Aves,Haematopodidae,8,35,LC,LC,visitante,104
29274,2010-05-14,iris,-34.913525558,-56.1667442322,Montevideo,Aramides cajaneus,Aves,Rallidae,19,36,LC,LC,visitante,104
87220,2011-01-06,guille,-34.0379800402,-53.5438978672,Rocha,Rhinella dorbignyi,Amphibia,Bufonidae,10,7,LC,LC,visitante,42
87221,2011-01-06,guille,-34.0379800402,-53.5438978672,Rocha,Scinax granulatus,Amphibia,Hylidae,19,4,LC,LC,visitante,42
87222,2011-01-08,guille,-34.1866718618,-53.7563180923,Rocha,Procyon cancrivorus,Mammalia,Procyonidae,19,107,LC,LC,visitante,42
87225,2011-01-10,guille,-34.4061860207,-53.7776952982,Rocha,Otaria byronia,Mammalia,Otariidae,5,210,LC,LC,visitante,42
87228,2011-01-12,guille,-34.2420492886,-53.881727457,Rocha,Myiopsitta monachus,Aves,Psittacidae,19,27,LC,LC,visitante,42
87229,2011-01-12,guille,-34.2594865145,-53.8831248879,Rocha,Colaptes campestris,Aves,Picidae,19,27,LC,LC,visitante,42
87232,2011-01-12,guille,-34.2828642395,-53.9022195339,Rocha,Sicalis flaveola,Aves,Thraupidae,19,12,LC,LC,visitante,42
87233,2011-01-12,guille,-34.2132594318,-53.8846805692,Rocha,Amazonetta brasiliensis,Aves,Anatidae,19,36,LC,LC,visitante,42
87234,2011-01-12,guille,-34.2132128526,-53.8846886158,Rocha,Porphyriops melanops,Aves,Rallidae,19,20,LC,LC,visitante,42
87235,2011-01-12,guille,-34.2396878353,-53.8822317123,Rocha,Milvago chimango,Aves,Falconidae,19,37,LC,LC,visitante,42
87236,2011-01-12,guille,-34.2400514813,-53.882060051,Rocha,Colaptes campestris,Aves,Picidae,19,27,LC,LC,visitante,42
87238,2011-01-13,guille,-33.9016017535,-53.5102200508,Rocha,Nannopterum brasilianum,Aves,Phalacrocoracidae,19,63,LC,LC,visitante,42
87239,2011-01-13,guille,-33.9016017535,-53.5102200508,Rocha,Larus dominicanus,Aves,Laridae,16,55,LC,LC,visitante,42
87240,2011-01-13,guille,-33.900993992,-53.5116711259,Rocha,Mimus saturninus,Aves,Mimidae,19,25,LC,LC,visitante,42
87241,2011-01-13,guille,-33.9017642678,-53.5102334619,Rocha,Egretta thula,Aves,Ardeidae,19,39,LC,LC,visitante,42
121716,2010-05-17,iris,-34.5168752562,-53.6440393386,Rocha,Spheniscus magellanicus,Aves,Spheniscidae,6,47,NT,NT,visitante,104
121995,2010-05-14,iris,-34.9157777705,-56.1720657349,Montevideo,Egretta thula,Aves,Ardeidae,19,39,LC,LC,visitante,104
411870,2013-09-13,jonathan,-34.913675,-56.17664,Montevideo,Vanellus chilensis,Aves,Charadriidae,19,32,LC,LC,visitante,130
413458,2013-09-13,jonathan,-34.924194,-56.150624,Montevideo,Fulica armillata,Aves,Rallidae,19,35,LC,LC,visitante,130
414272,2013-09-13,jonathan,-34.924218,-56.150898,Montevideo,Rollandia rolland,Aves,Podicipedidae,19,25,LC,LC,visitante,130
435389,2013-09-13,jonathan,-34.924556,-56.151807,Montevideo,Haematopus palliatus,Aves,Haematopodidae,8,35,LC,LC,visitante,130
644794,2014-04-23,gantproductions,-34.2613638889,-55.9728861111,Florida,Theristicus caerulescens,Aves,Threskiornithidae,19,62,LC,LC,visitante,29
645397,2014-04-24,gantproductions,-32.0747194444,-55.7520305556,Tacuarembó,Athene cunicularia,Aves,Strigidae,19,25,LC,NT,visitante,29
645531,2014-04-24,gantproductions,-32.188075,-55.7126416667,Tacuarembó,Buteogallus meridionalis,Aves,Accipitridae,19,51,LC,LC,visitante,29
645539,2014-04-24,gantproductions,-32.1880638889,-55.7126194444,Tacuarembó,Rhea americana,Aves,Rheidae,19,140,NT,LC,visitante,29
645610,2014-04-24,gantproductions,-31.8274638889,-56.00265,Tacuarembó,Aramides ypecaha,Aves,Rallidae,19,45,LC,LC,visitante,29
645622,2014-04-24,gantproductions,-31.7568475668,-55.8011366481,Tacuarembó,Heteroxolmis dominicana,Aves,Tyrannidae,17,19,VU,VU,visitante,29
646149,2014-04-27,gantproductions,-34.957405,-54.9442966667,Maldonado,Haematopus palliatus,Aves,Haematopodidae,8,35,LC,LC,visitante,29
646189,2012-12-23,gantproductions,-34039,-53.5413333333,Rocha,Rhinella arenarum,Amphibia,Bufonidae,10,11.5,LC,LC,visitante,29
646219,2012-12-23,gantproductions,-34.401368,-53.782657,Rocha,Rhinella arenarum,Amphibia,Bufonidae,10,11.5,LC,LC,visitante,29
646232,2013-11-10,gantproductions,-34.964212,-54.949528,Maldonado,Otaria byronia,Mammalia,Otariidae,5,210,LC,LC,visitante,29
646278,2012-12-23,gantproductions,-34.406078,-53.778441,Rocha,Arctocephalus australis,Mammalia,Otariidae,7,150,LC,LC,visitante,29
912590,2013-03-03,nicoolejnik,-34.074275,-57.366486,Colonia,Elaenia parvirostris,Aves,Tyrannidae,19,13,LC,LC,visitante,108
912647,2013-03-02,nicoolejnik,-34.112942,-57.374725,Colonia,Embernagra platensis,Aves,Thraupidae,19,20,LC,LC,visitante,108
917562,2013-03-03,nicoolejnik,-34.073137,-57.415924,Colonia,Colaptes melanochloros,Aves,Picidae,19,23,LC,LC,visitante,108
1140305,2013-03-02,nicoolejnik,-34.065552,-57.356071,Colonia,Dasypus novemcinctus,Mammalia,Dasypodidae,19,70,LC,LC,visitante,108
1266639,2011-01-10,guille,-34.182589,-53.752885,Rocha,Cerdocyon thous,Mammalia,Canidae,19,110,LC,LC,visitante,42
1266655,2011-01-10,guille,-34.402732,-53.776639,Rocha,Anthus lutescens,Aves,Motacillidae,19,12,LC,LC,visitante,42
1266665,2011-01-12,guille,-34.241271,-53.881717,Rocha,Tyrannus savana,Aves,Tyrannidae,19,38,LC,LC,visitante,42
1266670,2011-01-12,guille,-34.28346,-53.90606,Rocha,Nannopterum brasilianum,Aves,Phalacrocoracidae,19,63,LC,LC,visitante,42
1266676,2011-01-12,guille,-34.283478,-53.90325,Rocha,Zonotrichia capensis,Aves,Passerellidae,19,12,LC,LC,visitante,42
