id,observado,usuario,latitude,longitude,place_admin1_name,especie,clase,familia,distribucion,largo_cm,status_global,status_regional,nivel,ranking
316443,2013-06-26,intiporley,-33.9546714965,-53.4586029429,Rocha,Melanophryniscus montevidensis,Amphibia,Bufonidae,4,3,VU,CR,principiante,486
449636,2013-09-27,intiporley,-33.8440209971,-53.5059229415,Rocha,Melanophryniscus montevidensis,Amphibia,Bufonidae,4,3,VU,CR,principiante,486
449639,2013-09-28,intiporley,-33.951334,-53.518739,Rocha,Leptodactylus gracilis,Amphibia,Leptodactylidae,19,4.5,LC,LC,principiante,486
1539359,2011-12-03,javier1-flaniguen,-32.6694368326,-53.2665252686,Cerro Largo,Pyrocephalus rubinus,Aves,Tyrannidae,19,13,LC,LC,principiante,344
1542274,2015-05-23,terecabo,-34.897206,-56.067753,Montevideo,Nycticorax nycticorax,Aves,Ardeidae,19,47,LC,LC,principiante,806
1920527,2015-04-01,javier1-flaniguen,-34.8659331314,-55.2529907227,Maldonado,Cathartes aura,Aves,Cathartidae,19,60,LC,LC,principiante,344
1920543,2011-04-21,javier1-flaniguen,-32.7202878811,-53.3084106445,Cerro Largo,Cathartes burrovianus,Aves,Cathartidae,19,56,LC,LC,principiante,344
1920555,2015-04-01,javier1-flaniguen,-34.8653697424,-55.2553939819,Maldonado,Cathartes aura,Aves,Cathartidae,19,60,LC,LC,principiante,344
1920568,2015-04-01,javier1-flaniguen,-34.8129576968,-55.2584838867,Maldonado,Coragyps atratus,Aves,Cathartidae,19,53,LC,LC,principiante,344
1920635,2011-04-10,javier1-flaniguen,-32.3490774393,-53.9226150513,Cerro Largo,Cathartes aura,Aves,Cathartidae,19,60,LC,LC,principiante,344
1920655,2015-04-01,javier1-flaniguen,-34.8121120678,-55.2529907227,Maldonado,Coragyps atratus,Aves,Cathartidae,19,53,LC,LC,principiante,344
1920662,2011-04-10,javier1-flaniguen,-32.3480622923,-53.8446807861,Cerro Largo,Cathartes aura,Aves,Cathartidae,19,60,LC,LC,principiante,344
2566954,2015-11-02,cmbiancardi,-33.065075,-58.06961,Río Negro,Caracara plancus,Aves,Falconidae,19,55,LC,LC,principiante,103
