especie,clase,familia,distribucion,largo_cm,status_global,status_regional
Larus dominicanus dominicanus,Aves,Laridae,16,55,LC,LC
Himantopus mexicanus melanurus,Aves,Recurvirostridae,19,38,LC,LC
Erythrolamprus poecilogyrus sublineatus,Reptilia,Colubridae,19,70,NE,LC
Colaptes campestris campestroides,Aves,Picidae,19,27,LC,LC
Philodryas aestiva subcarinata,Reptilia,Colubridae,19,100,NE,LC
Dasypus septemcinctus hybridus,Mammalia,Dasypodidae,19,45,LC,NE
Egretta thula thula,Aves,Ardeidae,19,39,LC,LC
Columba livia domestica,Aves,Columbidae,19,33,LC,NE
Cairina moschata domestica,Aves,Anatidae,10,73,LC,EN
Bubo virginianus nacurutu,Aves,Strigidae,19,51,LC,LC
Aramus guarauna guarauna,Aves,Aramidae,19,55,LC,LC
Thalasseus sandvicensis eurygnathus,Aves,Laridae,9,40,LC,NE
Ozotoceros bezoarticus arerunguaensis,Mammalia,Cervidae,2,129,NT,VU
Falco sparverius cinnamominus,Aves,Falconidae,19,26,LC,LC
Oxyrhopus rhombifer rhombifer,Reptilia,Colubridae,19,90,NE,LC
Cathartes aura ruficollis,Aves,Cathartidae,19,60,LC,LC
Columbina picui picui,Aves,Columbidae,19,15,LC,LC
Philodryas olfersii olfersii,Reptilia,Colubridae,4,150,NE,LC
Calidris canutus rufa,Aves,Scolopacidae,8,23,NT,EN
Embernagra platensis platensis,Aves,Thraupidae,19,20,LC,LC
Pyrocephalus rubinus rubinus,Aves,Tyrannidae,19,13,LC,LC
Progne tapera fusca,Aves,Hirundinidae,19,16,LC,LC
Furnarius rufus rufus,Aves,Furnariidae,19,18,LC,LC
Nannopterum brasilianum brasilianum,Aves,Phalacrocoracidae,19,63,LC,LC
Ardea alba egretta,Aves,Ardeidae,19,65,LC,LC
Molothrus bonariensis bonariensis,Aves,Icteridae,19,19,LC,LC
Passer domesticus domesticus,Aves,Passeridae,19,13,LC,NE
Vanellus chilensis lampronotus,Aves,Charadriidae,19,32,LC,LC
Progne chalybea macrorhamphus,Aves,Hirundinidae,19,18,LC,LC
Tyrannus savana savana,Aves,Tyrannidae,19,38,LC,LC
Nengetus cinereus cinereus,Aves,Tyrannidae,19,20,LC,LC
Milvago chimango chimango,Aves,Falconidae,19,37,LC,LC
Myiopsitta monachus monachus,Aves,Psittacidae,19,27,LC,LC
Patagioenas maculosa maculosa,Aves,Columbidae,19,33,LC,LC
Patagioenas picazuro picazuro,Aves,Columbidae,19,35,LC,LC
Pitangus sulphuratus argentinus,Aves,Tyrannidae,19,22,LC,LC
Setophaga pitiayumi pitiayumi,Aves,Parulidae,19,9,LC,LC
Sicalis flaveola pelzelni,Aves,Thraupidae,19,12,LC,LC
Spinus magellanicus magellanicus,Aves,Fringillidae,19,12,LC,LC
Jacana jacana jacana,Aves,Jacanidae,19,25,LC,LC
Aramides cajaneus cajaneus,Aves,Rallidae,19,36,LC,LC
Mimus saturninus modulator,Aves,Mimidae,19,25,LC,LC
Tyrannus melancholicus melancholicus,Aves,Tyrannidae,19,20,LC,LC
Colaptes melanochloros melanolaimus,Aves,Picidae,19,23,LC,LC
Coryphospingus cucullatus rubescens,Aves,Thraupidae,19,12,LC,LC
Picumnus cirratus pilcomayensis,Aves,Picidae,6,8,LC,DD
Myiodynastes maculatus solitarius,Aves,Tyrannidae,19,19,LC,LC
Rynchops niger intercedens,Aves,Laridae,13,40,LC,LC
Calonectris diomedea borealis,Aves,Procellariidae,1,50,LC,NE
Falco peregrinus cassini,Aves,Falconidae,19,39,LC,LC
Serpophaga subcristata munda,Aves,Tyrannidae,19,9,LC,LC
Cairina moschata moschata,Aves,Anatidae,10,73,LC,EN
Haematopus palliatus palliatus,Aves,Haematopodidae,8,35,LC,LC
Xolmis irupero irupero,Aves,Tyrannidae,19,17,LC,LC
