"","X.1","X","quality_grade","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name","Distribution","Size..cm.","IUCNglobal","IUCNregional","trendGlobal","n"
"1",1,130,"research","Boana pulchella","Animalia","Chordata","Amphibia","Anura","Hylidae","Boana",NA,NA,"LC","LC","Stable",127
"2",8,165,"research","Leptodactylus luctator","Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Leptodactylus",NA,NA,"NE","NE","Unknow",102
"3",9,515,"research","Leptodactylus macrosternum","Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Leptodactylus",NA,NA,"LC","NE","Unknown",4
"4",27,179,"research","Rhinella diptycha","Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella",NA,NA,"DD","LC","Unknown",55
"5",37,462,"research","Agapornis personatus","Animalia","Chordata","Aves","Psittaciformes","Psittaculidae","Agapornis",NA,NA,"LC","NE","Stable",1
"6",43,506,"research","Amazona aestiva","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Amazona",NA,NA,"NT","NE","Decreasing",1
"7",47,550,"research","Anairetes flavirostris","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Anairetes",NA,NA,"LC","NE","Stable",2
"8",51,121,"research","Anas platyrhynchos","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas",NA,NA,"LC","NE","Increasing",NA
"9",54,112,"research","Anser anser","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser",NA,NA,"LC","NE","Increasing",2
"10",63,606,"research","Aramides saracura","Animalia","Chordata","Aves","Gruiformes","Rallidae","Aramides",NA,NA,"LC","NE","Decreasing",1
"11",101,556,"research","Calonectris diomedea","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Calonectris",NA,NA,"LC","LC","Decreasing",NA
"12",144,555,"research","Corvus splendens","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus",NA,NA,"LC","NE","Stable",4
"13",199,591,"research","Gallinago magellanica","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago",NA,NA,"LC","NE","Decreasing",1
"14",219,602,"research","Hemithraupis guira","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Hemithraupis",NA,NA,"LC","NE","Decreasing",1
