,X,quality_grade,taxon_species_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,Distribution,Size (cm),IUCNglobal,IUCNregional,trendGlobal,n
1,130,research,Boana pulchella,Animalia,Chordata,Amphibia,Anura,Hylidae,Boana,19,5,LC,LC,Stable,127
2,381,research,Chthonerpeton indistinctum,Animalia,Chordata,Amphibia,Gymnophiona,Typhlonectidae,Chthonerpeton,9,"43,5",LC,LC,Unknown,2
3,306,research,Dendropsophus minutus,Animalia,Chordata,Amphibia,Anura,Hylidae,Dendropsophus,2,"2,8",LC,EN,Stable,4
4,192,research,Dendropsophus sanborni,Animalia,Chordata,Amphibia,Anura,Hylidae,Dendropsophus,19,3,LC,LC,Stable,25
5,380,research,Elachistocleis bicolor,Animalia,Chordata,Amphibia,Anura,Microhylidae,Elachistocleis,19,"4,3",LC,LC,Stable,26
6,24,research,Leptodactylus gracilis,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,19,"4,5",LC,LC,Stable,21
7,255,research,Leptodactylus latinasus,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,19,4,LC,LC,Stable,38
8,165,research,Leptodactylus luctator,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,19,12,LC,LC,Unknow,102
9,515,research,Leptodactylus macrosternum,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,2,8,LC,NT,Unknown,4
10,101,research,Leptodactylus mystacinus,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,19,6,LC,LC,Stable,35
11,281,research,Limnomedusa macroglossa,Animalia,Chordata,Amphibia,Anura,Alsodidae,Limnomedusa,19,"4,63",LC,LC,Stable,22
12,311,research,Lithobates catesbeianus,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,3,"20,3",LC,LC,Increasing,2
13,533,research,Melanophryniscus atroluteus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Melanophryniscus,13,"2,8",LC,LC,Stable,2
14,20,research,Melanophryniscus montevidensis,Animalia,Chordata,Amphibia,Anura,Bufonidae,Melanophryniscus,4,3,VU,CR,Decreasing,73
15,578,research,Melanophryniscus pachyrhynus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Melanophryniscus,2,"2,8",DD,EN,Unknown,1
16,162,research,Odontophrynus americanus,Animalia,Chordata,Amphibia,Anura,Odontophrynidae,Odontophrynus,19,"5,1",LC,LC,Stable,39
17,273,research,Phyllomedusa iheringii,Animalia,Chordata,Amphibia,Anura,Phyllomedusidae,Phyllomedusa,12,"7,5",LC,LC,Unknown,24
18,104,research,Physalaemus biligonigerus,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Physalaemus,12,4,LC,LC,Stable,17
19,178,research,Physalaemus gracilis,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Physalaemus,14,4,LC,LC,Stable,22
20,516,research,Physalaemus henselii,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Physalaemus,17,2,LC,LC,Stable,4
21,589,research,Physalaemus riograndensis,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Physalaemus,19,"1,7",LC,LC,Stable,1
22,382,research,Pleurodema bibroni,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Pleurodema,15,3,NT,NT,Decreasing,3
23,190,research,Pseudis minuta,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudis,19,5,LC,LC,Stable,54
24,216,research,Pseudopaludicola falcipes,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Pseudopaludicola,19,2,LC,LC,Stable,35
25,541,research,Rhinella achavali,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,10,6,LC,NT,Stable,1
26,31,research,Rhinella arenarum,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,10,"11,5",LC,LC,Stable,78
27,179,research,Rhinella diptycha,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,4,25,LC,LC,Unknown,55
28,5,research,Rhinella dorbignyi,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,10,7,LC,LC,Stable,94
29,217,research,Scinax fuscovarius,Animalia,Chordata,Amphibia,Anura,Hylidae,Scinax,5,"5,5",LC,LC,Stable,12
30,6,research,Scinax granulatus,Animalia,Chordata,Amphibia,Anura,Hylidae,Scinax,19,4,LC,LC,Stable,94
31,291,research,Scinax nasicus,Animalia,Chordata,Amphibia,Anura,Hylidae,Scinax,2,"3,9",LC,EN,Stable,13
32,241,research,Scinax squalirostris,Animalia,Chordata,Amphibia,Anura,Hylidae,Scinax,19,3,LC,LC,Stable,17
33,415,research,Scinax uruguayus,Animalia,Chordata,Amphibia,Anura,Hylidae,Scinax,17,"2,6",LC,LC,Stable,5
34,233,research,Accipiter bicolor,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,11,35,LC,LC,Decreasing,14
35,135,research,Accipiter striatus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,19,26,LC,LC,Increasing,14
36,484,research,Actitis macularius,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,8,17,LC,LC,Decreasing,5
38,157,research,Agelaioides badius,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaioides,19,18,LC,LC,Stable,61
39,498,research,Agelasticus cyanopus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelasticus,3,18,LC,NE,Stable,1
40,242,research,Agelasticus thilius,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelasticus,19,17,LC,LC,Stable,26
41,593,research,Agriornis murinus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Agriornis,5,16,LC,NE,Stable,1
42,360,research,Alopochelidon fucata,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Alopochelidon,19,11,LC,LC,Stable,6
44,12,research,Amazonetta brasiliensis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Amazonetta,19,36,LC,LC,Decreasing,71
45,322,research,Amblyramphus holosericeus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Amblyramphus,19,22,LC,VU,Stable,25
46,80,research,Ammodramus humeralis,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammodramus,19,11,LC,LC,Stable,24
47,550,research,Anairetes flavirostris,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Anairetes,1,11,LC,NE,Stable,2
48,419,research,Anas bahamensis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,19,39,LC,LC,Decreasing,4
49,113,research,Anas flavirostris,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,19,34,LC,LC,Decreasing,71
50,260,research,Anas georgica,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,19,44,LC,LC,Decreasing,25
52,480,research,Anhima cornuta,Animalia,Chordata,Aves,Anseriformes,Anhimidae,Anhima,1,84,LC,NE,Decreasing,2
53,471,research,Anhinga anhinga,Animalia,Chordata,Aves,Suliformes,Anhingidae,Anhinga,19,66,LC,LC,Decreasing,9
55,596,research,Anthracothorax nigricollis,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Anthracothorax,4,9,LC,NE,Stable,4
56,352,research,Anthus correndera,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,19,14,LC,LC,Stable,8
57,432,research,Anthus furcatus,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,19,14,LC,LC,Stable,12
58,325,research,Anthus hellmayri,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,19,14,LC,LC,Stable,14
59,38,research,Anthus lutescens,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,19,12,LC,LC,Decreasing,10
60,569,research,Anthus nattereri,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,2,14,VU,VU,Decreasing,2
61,247,research,Anumbius annumbi,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Anumbius,19,18,LC,LC,Increasing,29
62,4,research,Aramides cajaneus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Aramides,19,36,LC,LC,Stable,68
63,606,research,Aramides saracura,Animalia,Chordata,Aves,Gruiformes,Rallidae,Aramides,1,36,LC,NE,Decreasing,1
64,29,research,Aramides ypecaha,Animalia,Chordata,Aves,Gruiformes,Rallidae,Aramides,19,45,LC,LC,Decreasing,80
65,47,research,Aramus guarauna,Animalia,Chordata,Aves,Gruiformes,Aramidae,Aramus,19,55,LC,LC,Stable,48
66,567,research,Aratinga nenday,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,4,30,LC,NE,Increasing,2
67,82,research,Ardea alba,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,19,65,LC,LC,Unknown,117
