"","user_login","primer_registro","ultimo_registro","registros","tiempo_activo","registros_x_tiempo","categoria_usuario"
"1","aarondames","2022-01-20 15:37:35 UTC","2022-02-05 18:47:24 UTC",3,17.1318171296296,0.175112772760776,"principiante"
"2","aaronfirestein","2022-07-31 01:36:17 UTC","2022-08-02 01:20:11 UTC",2,2.98881944444444,0.669160528822696,"principiante"
"3","abelardomendesjr","2022-01-18 01:33:10 UTC","2022-08-09 23:41:23 UTC",9,204.922372685185,0.0439190698510327,"principiante"
"4","abhinya_p","2021-10-20 05:43:03 UTC","2021-10-20 05:43:03 UTC",1,1,1,"principiante"
"5","abrilgn","2021-12-26 17:55:19 UTC","2021-12-26 17:55:19 UTC",1,1,1,"principiante"
"6","adiesusan","2022-10-30 14:26:02 UTC","2022-10-30 14:26:02 UTC",1,1,1,"principiante"
"7","adrianowb","2019-10-13 16:06:23 UTC","2019-10-19 14:07:35 UTC",3,6.9175,0.433682688832671,"principiante"
"8","aguaraguazu","2021-05-30 19:54:04 UTC","2021-05-30 19:54:04 UTC",1,1,1,"principiante"
"9","agustin_fresco","2018-06-25 21:54:13 UTC","2018-06-25 21:54:13 UTC",1,1,1,"principiante"
"10","ajfaggiani","2020-03-28 22:40:13 UTC","2020-04-03 16:55:25 UTC",6,6.76055555555556,0.887501027200263,"principiante"
"11","akilee","2020-01-05 23:10:14 UTC","2020-01-05 23:10:14 UTC",1,1,1,"principiante"
"12","alasazules","2021-01-19 00:09:54 UTC","2021-03-27 14:41:56 UTC",2,68.6055787037037,0.0291521482332752,"principiante"
"13","alberto_b__schwonke","2020-11-11 18:10:45 UTC","2020-11-11 18:10:45 UTC",1,1,1,"principiante"
"14","alberto_br","2021-12-17 22:16:55 UTC","2021-12-17 22:16:55 UTC",1,1,1,"principiante"
"15","albertofr","2022-04-23 19:49:54 UTC","2022-04-23 19:49:54 UTC",1,1,1,"principiante"
"16","ale_bu","2020-11-18 19:06:43 UTC","2020-11-18 19:06:43 UTC",1,1,1,"principiante"
"17","alec_mcclay","2021-04-17 19:38:16 UTC","2021-04-17 19:38:16 UTC",2,1,2,"principiante"
"18","alecuervo","2019-11-11 01:26:02 UTC","2019-11-11 01:26:02 UTC",1,1,1,"principiante"
"19","alejandropuente","2020-09-09 23:03:21 UTC","2020-12-05 02:16:49 UTC",2,87.1343518518518,0.0229530599298019,"principiante"
"20","alejo17","2022-02-11 19:02:23 UTC","2022-02-11 19:02:23 UTC",1,1,1,"principiante"
"21","alelallo","2022-04-06 05:10:39 UTC","2022-04-06 05:37:31 UTC",3,1.01865740740741,2.94505294732536,"principiante"
"22","alex-chama","2019-09-16 17:44:45 UTC","2019-09-16 17:44:45 UTC",1,1,1,"principiante"
"23","alexagallardolafon","2022-04-12 19:00:34 UTC","2022-04-12 19:00:34 UTC",1,1,1,"principiante"
"24","alexbarnard","2022-10-22 21:50:11 UTC","2022-10-22 23:07:54 UTC",6,1.05396990740741,5.69276215367383,"principiante"
"25","alicia_mercedes_zarauz_silva","2022-03-24 19:06:45 UTC","2022-03-24 19:06:45 UTC",1,1,1,"principiante"
"26","alitameichtry","2021-05-15 11:40:09 UTC","2021-05-16 12:39:08 UTC",2,2.04096064814815,0.979930701659871,"principiante"
"27","alvaro_panzitta","2021-05-14 00:14:11 UTC","2021-05-14 00:14:12 UTC",2,1.00001157407407,1.99997685211977,"principiante"
"28","alvarojaramillo","2019-10-31 16:05:25 UTC","2019-10-31 16:05:25 UTC",1,1,1,"principiante"
"29","amaliafuertes","2020-03-18 21:31:25 UTC","2020-07-10 23:53:32 UTC",6,115.09869212963,0.0521291761790179,"principiante"
"30","amandawhitmire","2022-10-16 14:46:00 UTC","2022-10-16 14:46:00 UTC",1,1,1,"principiante"
"31","ameguin","2019-12-27 03:30:59 UTC","2019-12-27 03:30:59 UTC",2,1,2,"principiante"
"32","ana_lucia10","2021-10-26 18:15:11 UTC","2021-10-26 18:15:11 UTC",1,1,1,"principiante"
"33","ana_ppll","2021-01-21 23:51:09 UTC","2021-01-21 23:59:22 UTC",2,1.00570601851852,1.98865271080524,"principiante"
"34","anahi119","2022-10-15 18:43:52 UTC","2022-11-01 20:01:46 UTC",2,18.0540972222222,0.110778178237473,"principiante"
"35","anahi65","2019-04-01 19:39:14 UTC","2019-04-01 19:39:14 UTC",1,1,1,"principiante"
"36","anaineszanfabrobulfo","2019-01-30 22:05:08 UTC","2019-01-31 11:14:54 UTC",3,1.54844907407407,1.9374224507796,"principiante"
"37","anapaolucci","2021-11-20 18:04:27 UTC","2021-11-20 18:04:27 UTC",1,1,1,"principiante"
"38","andre156","2020-04-22 02:51:12 UTC","2020-04-22 02:51:12 UTC",1,1,1,"principiante"
"39","andrea0401","2022-05-14 18:58:08 UTC","2022-09-04 01:34:16 UTC",8,113.275092592593,0.0706245284545735,"principiante"
"40","andrespautasso","2019-12-28 21:11:42 UTC","2019-12-28 21:11:42 UTC",1,1,1,"principiante"
